Site_no,presence sieberiana,region,Lat,Long,apan_Jan,apan_Feb,apan_Mar,apan_Apr,apan_May,apan_Jun,apan_Jul,apan_Aug,apan_Sep,apan_Oct,apan_Nov,apan_Dec,apan_MA,RF_Jan,RF_Feb,RF_Mar,RF_Apr,RF_May,RF_Jun,RF_Jul,RF_Aug,RF_Sep,RF_Oct,RF_Nov,RF_Dec,MAP,mxrh_Jan,mxrh_Feb,mxrh_Mar,mxrh_Apr,mxrh_May,mxrh_Jun,mxrh_Jul,mxrh_Aug,mxrh_Sep,mxrh_Oct,mxrh_Nov,mxrh_Dec,mrh_Jan,mrh_Feb,mrh_Mar,mrh_Apr,mrh_May,mrh_Jun,mrh_Jul,mrh_Aug,mrh_Sep,mrh_Oct,mrh_Nov,mrh_Dec,minrh_Jan,minrh_Feb,minrh_Mar,minrh_Apr,minrh_May,minrh_Jun,minrh_Jul,minrh_Aug,minrh_Sep,minrh_Oct,minrh_Nov,minrh_Dec,pnman_Jan,pnman_Feb,pnman_Mar,pnman_Apr,pnman_May,pnman_Jun,pnman_Jul,pnman_Aug,pnman_Sep,pnman_Oct,pnman_Nov,pnman_Dec,tmxav_Jan,tmxav_Feb,tmxav_Mar,tmxav_Apr,tmxav_May,tmxav_Jun,tmxav_Jul,tmxav_Aug,tmxav_Sep,tmxav_Oct,tmxav_Nov,tmxav_Dec,tminav_Jan,tminav_Feb,tminav_Mar,tminav_Apr,tminav_May,tminav_Jun,tminav_Jul,tminav_Aug,tminav_Sep,tminav_Oct,tminav_Nov,tminav_Dec,tmean_Jan,tmean_Feb,tmean_Mar,tmean_Apr,tmean_May,tmean_Jun,tmean_July,tmean_Aug,tmean_Sep,tmean_Oct,tmean_Nov,tmean_Dec,MAT,Slope
MP1,no,MP,-27.31847222,31.00602778,204,170,162,129,111,95,107,144,166,184,183,208,1869.900024,114,96,78,38,15,2,2,5,30,79,106,127,805,93.7,93.3,92.8,91.5,88.6,83.8,84.4,81.9,82.2,87,89.7,92.3,75.55,74.7,72.65,69.65,63.65,58.55,59.3,58.25,60.35,67.1,70.4,72.75,57.4,56.1,52.5,47.8,38.7,33.3,34.2,34.6,38.5,47.2,51.1,53.2,138.6,120.6,120.9,95.4,83.1,70.8,77.5,94.9,111.3,119.7,125.7,155.9,26.7,26.8,26.1,24.2,22.6,20.7,21,22.7,24.5,24.3,25.1,26.3,16.2,16.1,14.9,12,8.2,5,5.4,7.1,10.1,12.4,14,15.4,21.5,21.5,20.5,18,15.4,12.8,13.2,14.9,17.3,18.4,19.6,20.8,17.79999924,8.93225
MP2,no,MP,-27.28494444,30.97047222,201,170,162,130,111,97,108,146,168,185,184,207,1871.699951,125,91,90,44,13,2,2,6,32,79,111,133,846,93.6,93.2,92.7,92,89.9,83.6,84.4,82.3,82.3,87,89.3,92.1,75.2,74.55,72.45,69.5,63.85,57.55,58.3,57.7,59.75,66.6,69.8,72.35,56.8,55.9,52.2,47,37.8,31.5,32.2,33.1,37.2,46.2,50.3,52.6,140.4,121.2,121.8,96.9,84,72.3,79,96.7,114,122.5,128.1,157.5,26.9,26.8,26.2,24.2,22.7,20.8,21.1,22.8,24.8,24.6,25.4,26.4,16.2,16.1,14.8,11.4,7.2,4.1,4.3,6.2,9.5,12.2,13.9,15.4,21.5,21.5,20.5,17.8,15,12.4,12.7,14.5,17.1,18.4,19.6,20.9,17.70000076,0.636396016
MP3,yes,MP,-27.25072222,31.10752778,206,172,164,130,112,96,108,144,166,185,184,209,1880.699951,106,91,75,40,14,3,2,6,29,74,105,118,772,92.9,92.4,91.6,89.3,86.2,82.3,83.3,80.7,80.4,85.8,88.7,91.3,74.55,73.7,71.5,68.05,62.1,57.85,58.8,57.85,59.45,66.55,69.6,71.95,56.2,55,51.4,46.8,38,33.4,34.3,35,38.5,47.3,50.5,52.6,140.1,121.8,121.5,96.6,84.6,72,78.4,95.2,111.6,118.4,126,155.9,27.3,27.4,26.6,24.8,23.1,21.2,21.5,23,24.9,24.5,25.5,26.7,16.9,16.8,15.7,13.1,9.3,6,6.4,8.1,11.1,13.1,14.6,16,22.1,22.1,21.2,18.9,16.2,13.6,13.9,15.5,18,18.8,20.1,21.3,18.5,22.7021
MP4,yes,MP,-27.26925,31.13255556,204,170,164,130,113,95,108,144,165,183,183,208,1871.699951,110,92,74,41,14,3,3,6,29,77,104,120,788,93.8,93.5,93.1,91.6,89.4,85.1,86,83.3,83,87.8,90.3,92.6,75.65,75,73.15,69.95,64.4,59.65,60.6,59.45,61.05,68,70.9,73.2,57.5,56.5,53.2,48.3,39.4,34.2,35.2,35.6,39.1,48.2,51.5,53.8,139.5,120.3,120.3,95.1,82.5,70.2,76.3,93.6,110.7,117.8,125.7,155.6,26.8,26.8,26.1,24.2,22.5,20.5,20.8,22.4,24.4,24.1,25.1,26.2,16.2,16.1,15,12.1,8.2,4.9,5.4,7.1,10.2,12.4,13.9,15.4,21.5,21.5,20.5,18.1,15.3,12.7,13.1,14.7,17.3,18.2,19.5,20.8,17.79999924,12.0748
MP5,no,MP,-27.28405556,31.14483333,199,166,161,130,112,95,107,144,163,179,180,205,1847.099976,108,91,71,40,14,4,3,6,28,76,100,115,770,93.8,93.5,93.2,91.8,89.7,85.3,86.2,83.5,83.2,88,90.4,92.7,75.65,75.1,73.25,70.05,64.55,59.7,60.6,59.5,61.1,68.1,70.95,73.35,57.5,56.7,53.3,48.3,39.4,34.1,35,35.5,39,48.2,51.5,54,139.5,120.3,120.3,95.1,82.5,69.9,76.3,93.6,111,118.1,125.7,155.3,26.8,26.8,26.1,24.1,22.5,20.5,20.8,22.4,24.4,24.1,25.1,26.2,16.1,16.1,14.9,12,8,4.8,5.2,6.9,10,12.3,13.9,15.3,21.5,21.4,20.5,18,15.2,12.6,13,14.6,17.2,18.2,19.5,20.8,17.70000076,5.20048
MP6,no,MP,-27.28336111,30.83927778,213,178,166,130,111,96,108,146,171,192,190,216,1922.099976,126,94,93,39,12,1,1,5,31,80,118,133,865,93.3,93,92.5,91.7,89.5,82.9,83.7,81.7,81.8,86.7,88.9,91.8,74.55,74.05,72,68.85,63.2,56.9,57.55,57,59.35,66.05,69.4,71.7,55.8,55.1,51.5,46,36.9,30.9,31.4,32.3,36.9,45.4,49.9,51.6,142.3,122.3,123.1,98.1,84.9,72.6,79.7,97.3,114.3,123.7,128.7,159.3,27.1,27,26.4,24.4,22.8,20.8,21.2,22.9,24.8,24.7,25.4,26.6,16.1,16.1,14.8,11.3,7.1,4,4.1,6.1,9.4,12.1,13.9,15.4,21.6,21.5,20.6,17.8,15,12.4,12.6,14.5,17.1,18.4,19.7,21,17.70000076,5.51951
MP7,no,MP,-27.11875,30.92027778,198,167,160,128,110,95,107,146,167,183,179,205,1850.900024,110,101,69,48,15,4,4,9,27,89,99,136,787,94.2,94,94.1,92.7,90.8,86.9,87.8,84.8,84.8,89.3,91.2,93.4,75.6,75.2,74,70.3,65,60.8,61.35,60.15,62.85,68.45,71.65,73.25,57,56.4,53.9,47.9,39.2,34.7,34.9,35.5,40.9,47.6,52.1,53.1,142,122,120.6,96.6,82.5,68.7,75.3,93,108,120.6,125.7,158.7,26.6,26.5,25.7,23.9,22.1,19.7,20.1,21.9,23.5,24,24.7,26.2,15.3,15.2,14,11,6.9,3.7,3.8,5.8,9.1,11.4,13.1,14.6,21,20.8,19.8,17.4,14.5,11.7,11.9,13.9,16.3,17.7,18.9,20.4,17,7.47295
KZN1,no,KZN,-29.56822222,30.37952778,177,157,152,123,103,91,99,126,146,161,163,181,1683.800049,132,116,105,42,15,6,7,19,40,80,98,113,882,91.4,91.2,90.8,88.8,88.7,83,83.9,81.9,82.7,86.3,87.7,89.7,74.4,73.8,71.35,68.05,64.5,58.6,59.25,59.3,62.15,67,69.65,70.7,57.4,56.4,51.9,47.3,40.3,34.2,34.6,36.7,41.6,47.7,51.6,51.7,136.4,118.6,118.1,93,78.1,66.9,73.5,89.6,104.4,117.2,123,158.1,27.1,27.3,26.6,24.8,22.7,20.8,21.2,22.5,24.1,24.4,25.2,26.9,17.1,17.2,15.9,13,8.9,5.7,5.8,7.8,10.7,12.8,14.6,16.2,22,22.2,21.2,18.9,15.8,13.2,13.5,15.1,17.3,18.6,19.9,21.5,18.29999924,10.2988
KZN2,yes,KZN,-29.53516667,30.45669444,175,154,148,121,104,92,100,127,144,158,160,179,1667,117,103,91,39,16,6,8,16,40,73,87,106,815,92.8,92.6,93,91.5,91.4,84.9,85.8,84.5,85.3,89.3,90.4,92.4,75.8,75.2,73.55,69.75,66.45,58.75,59.75,60.25,63.55,69.35,71.55,73.1,58.8,57.8,54.1,48,41.5,32.6,33.7,36,41.8,49.4,52.7,53.8,136.1,118.1,116.2,93,76.6,67.2,73.5,89.9,104.4,115.9,123.6,156.2,26.5,26.8,26,24.4,22.3,20.6,20.9,22.3,23.8,23.8,24.7,26.2,16.1,16.3,15,11.8,7.7,4.2,4.4,6.4,9.7,11.6,13.4,15,21.3,21.5,20.5,18.1,15,12.4,12.7,14.3,16.7,17.7,19,20.6,17.5,3.53058
KZN3,yes,KZN,-29.53397222,30.476,178,156,151,122,105,92,99,126,144,160,163,181,1681.900024,109,98,84,37,15,5,7,15,37,68,82,99,773,92.7,92.5,92.7,91.1,90.4,84.1,85.1,83.8,84.8,89.1,90.3,92.3,75.7,75.2,73.35,69.6,65.95,58.65,59.7,60.15,63.6,69.35,71.75,73.25,58.7,57.9,54,48.1,41.5,33.2,34.3,36.5,42.4,49.6,53.2,54.2,135.5,117.2,115.9,92.7,76.9,67.5,73.8,89.9,103.5,115,122.1,155,26.6,26.9,26.1,24.5,22.5,20.8,21.1,22.5,23.8,23.8,24.7,26.2,16.3,16.5,15.3,12.1,8.3,4.9,5.1,7.1,10.1,11.9,13.6,15.2,21.5,21.7,20.7,18.3,15.4,12.9,13.1,14.8,17,17.8,19.1,20.7,17.70000076,25.4718
