"","presence.sieberiana","region","Lat","Long","apan_MA","MAP","MAT","Slope","apan_summer","apan_autumn","apan_winter","apan_spring","RF_summer","RF_autumn","RF_winter","RF_spring","mxrh_summer","mxrh_autumn","mxrh_winter","mxrh_spring","mrh_summer","mrh_autumn","mrh_winter","mrh_spring","minrh_summer","minrh_autumn","minrh_winter","minrh_spring","pnman_summer","pnman_autumn","pnman_winter","pnman_spring","tmxav_summer","tmxav_autumn","tmxav_winter","tmxav_spring","tminav_summer","tminav_autumn","tminav_winter","tminav_spring","tmean_summer","tmean_autumn","tmean_winter","tmean_spring","Comp.1","Comp.2","Comp.3","trans_250"
"KZN1","no","KZN",-29.56822222,30.37952778,1683.800049,882,18.29999924,10.2988,171.666666666667,126,105.333333333333,156.666666666667,120.333333333333,54,10.6666666666667,72.6666666666667,90.7666666666667,89.4333333333333,82.9333333333333,85.5666666666667,72.9666666666667,67.9666666666667,59.05,66.2666666666667,55.1666666666667,46.5,35.1666666666667,46.9666666666667,137.7,96.4,76.6666666666667,114.866666666667,27.1,24.7,21.5,24.5666666666667,16.8333333333333,12.6,6.43333333333333,12.7,21.9,18.6333333333333,13.9333333333333,18.6,0.0927887842742594,-0.0275152797885367,0.175762418657406,0.713939304
"KZN2","yes","KZN",-29.53516667,30.45669444,1667,815,17.5,3.53058,169.333333333333,124.333333333333,106.333333333333,154,108.666666666667,48.6666666666667,10,66.6666666666667,92.6,91.9666666666667,85.0666666666667,88.3333333333333,74.7,69.9166666666667,59.5833333333333,68.15,56.8,47.8666666666667,34.1,47.9666666666667,136.8,95.2666666666667,76.8666666666667,114.633333333333,26.5,24.2333333333333,21.2666666666667,24.1,15.8,11.5,5,11.5666666666667,21.1333333333333,17.8666666666667,13.1333333333333,17.8,-0.435600739780979,-0.0499088457587875,0.00592528251798821,0.947379205
"KZN3","yes","KZN",-29.53397222,30.476,1681.900024,773,17.70000076,25.4718,171.666666666667,126,105.666666666667,155.666666666667,102,45.3333333333333,9,62.3333333333333,92.5,91.4,84.3333333333333,88.0666666666667,74.7166666666667,69.6333333333333,59.5,68.2333333333333,56.9333333333333,47.8666666666667,34.6666666666667,48.4,135.9,95.1666666666667,77.0666666666667,113.533333333333,26.5666666666667,24.3666666666667,21.4666666666667,24.1,16,11.9,5.7,11.8666666666667,21.3,18.1333333333333,13.6,17.9666666666667,0.779915517983868,-0.0941816773782598,-0.190128247876382,0.178529384
"KZN4","no","KZN",-29.73580556,30.24994444,1628,914,16.70000076,15.4871,165,121.666666666667,105,149.333333333333,108.333333333333,58.6666666666667,12.6666666666667,82.6666666666667,93.6,92.1666666666667,86.6333333333333,89.5,77.5166666666667,71.6,63.3833333333333,71.25,61.4333333333333,51.0333333333333,40.1333333333333,53,126.633333333333,89.6333333333333,70.1,104.833333333333,25.0333333333333,23.0666666666667,19.9,22.5,15,11.3333333333333,5.8,11.1,20.0333333333333,17.2,12.8666666666667,16.7666666666667,-0.163972029964192,-0.11009014616326,-0.0301163265450729,0.748420017
"KZN5","no","KZN",-29.07477778,30.36072222,1726.5,998,17.29999924,5.21776,175.666666666667,127.333333333333,109.666666666667,160.666666666667,127.666666666667,60.6666666666667,8.66666666666667,84.6666666666667,92.6666666666667,92.9333333333333,88.0666666666667,88.0333333333333,71.4833333333333,69.35,61.45,65.7166666666667,50.3,45.7666666666667,34.8333333333333,43.4,151.8,99.5,74.8333333333333,123.466666666667,27.7,24.1666666666667,20.3666666666667,24.8333333333333,15.2333333333333,10.5,4.43333333333333,11.1,21.4333333333333,17.3,12.4,18,0.279733806882315,0.598620859128757,-0.213683798055059,0.859059131
"KZN6","no","KZN",-29.70055556,30.37588889,1634.900024,770,17.79999924,9.67471,165.666666666667,121.333333333333,106,150,96.6666666666667,47.6666666666667,9.33333333333333,65,92.7666666666667,89.7333333333333,83.4666666666667,87.4333333333333,76.6166666666667,69.9166666666667,62.1833333333333,69.6166666666667,60.4666666666667,50.1,40.9,51.8,127.366666666667,91.2,71.5333333333333,106.466666666667,25.6333333333333,23.8,20.7333333333333,23.3,15.9,12.7666666666667,7.96666666666667,12.3333333333333,20.7333333333333,18.2666666666667,14.4,17.7666666666667,0.58341957072181,0.140983753705489,0.587793732307042,0.659907724
"KZN7","no","KZN",-29.55102778,30.37836111,1686.300049,953,17.89999962,9.04489,172.333333333333,126,105.666666666667,156.666666666667,132.333333333333,57.3333333333333,11,80,91.5666666666667,89.1333333333333,85.0666666666667,86.7333333333333,74.9333333333333,69.55,63.2166666666667,68.5,58.3,49.9666666666667,41.3666666666667,50.2666666666667,130.3,90.1333333333333,70.2333333333333,108.4,26.2666666666667,23.7333333333333,20.3333333333333,23.6333333333333,16.6333333333333,12.9666666666667,7.4,12.6,21.4333333333333,18.3333333333333,13.8333333333333,18.1,-0.463837633054933,-0.0452572568071368,0.00991986546026281,0.967195679
"MP1","no","MP",-27.31847222,31.00602778,1869.900024,805,17.79999924,8.93225,194,134,115.333333333333,177.666666666667,112.333333333333,43.6666666666667,3,71.6666666666667,93.1,90.9666666666667,83.3666666666667,86.3,74.3333333333333,68.65,58.7,65.95,55.5666666666667,46.3333333333333,34.0333333333333,45.6,138.366666666667,99.8,81.0666666666667,118.9,26.6,24.3,21.4666666666667,24.6333333333333,15.9,11.7,5.83333333333333,12.1666666666667,21.2666666666667,17.9666666666667,13.6333333333333,18.4333333333333,-0.44608279151315,-0.0490959692598057,0.00754934910591788,0.954242119
"MP2","no","MP",-27.28494444,30.97047222,1871.699951,846,17.70000076,0.636396016,192.666666666667,134.333333333333,117,179,116.333333333333,49,3.33333333333333,74,92.9666666666667,91.5333333333333,83.4333333333333,86.2,74.0333333333333,68.6,57.85,65.3833333333333,55.1,45.6666666666667,32.2666666666667,44.5666666666667,139.7,100.9,82.6666666666667,121.533333333333,26.7,24.3666666666667,21.5666666666667,24.9333333333333,15.9,11.1333333333333,4.86666666666667,11.8666666666667,21.3,17.7666666666667,13.2,18.3666666666667,-0.0599577587383957,0.328176167090916,-0.115195600656521,0.921255311
"MP3","yes","MP",-27.25072222,31.10752778,1880.699951,772,18.5,22.7021,195.666666666667,135.333333333333,116,178.333333333333,105,43,3.66666666666667,69.3333333333333,92.2,89.0333333333333,82.1,84.9666666666667,73.4,67.2166666666667,58.1666666666667,65.2,54.6,45.4,34.2333333333333,45.4333333333333,139.266666666667,100.9,81.8666666666667,118.666666666667,27.1333333333333,24.8333333333333,21.9,24.9666666666667,16.5666666666667,12.7,6.83333333333333,12.9333333333333,21.8333333333333,18.7666666666667,14.3333333333333,18.9666666666667,0.861852407067137,-0.331880048556174,-0.167078032051758,0
