"","site","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","KZN1_Am",21,236,48,0.9127,21,4,2,3,2,3,1,1,1,0
"2","KZN2_Am",18,200,62,0.8712,27,11,5,4,5,3,0,1,1,0
"3","KZN3_Am",11,165,87,0.7092,51,16,8,6,2,4,0,0,0,0
"4","KZN4_Am",21,262,83,0.8293,46,13,3,5,4,1,0,1,1,1
"5","KZN5_Am",22,335,77,0.9172,29,14,6,3,4,3,2,2,0,4
"6","KZN6_Am",21,257,98,0.8002,53,17,9,4,3,3,2,1,0,1
"7","KZN7_Am",21,207,72,0.8488,33,18,6,3,3,0,1,3,0,2
"8","MP1_Am",21,240,74,0.8764,31,14,8,4,3,1,3,1,4,2
"9","MP2_Am",21,260,87,0.8524,40,17,6,6,5,5,1,0,1,1
"10","MP3_Am",14,163,87,0.7432,45,22,11,6,2,0,1,0,0,0
"11","MP4_Am",17,280,99,0.8199,52,13,5,11,4,3,4,2,0,2
"12","MP5_Am",19,253,90,0.8411,42,17,9,8,2,2,3,1,0,2
"13","MP6_Am",21,234,66,0.893,26,10,5,4,6,4,2,3,1,2
"14","MP7_Am",20,127,47,0.8245,23,7,5,3,3,2,2,1,0,0
"15","KZN2_Vs",17,289,103,0.8271,52,17,9,3,8,3,4,1,2,0
"16","KZN3_Vs",5,66,47,0.5917,32,12,2,1,0,0,0,0,0,0
"17","MP3_Vs",4,62,43,0.6197,29,10,3,1,0,0,0,0,0,0
"18","MP4_Vs",17,442,137,0.88,56,25,18,7,4,7,4,5,3,0
