"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,17,15.385,18.615,0.297,0.256,0.339
"2",1,"interpolated",0,17,15.385,18.615,0.297,0.256,0.339
"3",1,"interpolated",0,17,15.385,18.615,0.297,0.256,0.339
"4",1,"interpolated",0,17,15.385,18.615,0.297,0.256,0.339
"5",1,"interpolated",0,17,15.385,18.615,0.297,0.256,0.339
"6",2,"interpolated",0,28.949,26.357,31.54,0.446,0.4,0.491
"7",2,"interpolated",0,28.949,26.357,31.54,0.446,0.4,0.491
"8",2,"interpolated",0,28.949,26.357,31.54,0.446,0.4,0.491
"9",2,"interpolated",0,28.949,26.357,31.54,0.446,0.4,0.491
"10",3,"interpolated",0,38.371,34.972,41.769,0.537,0.491,0.582
"11",3,"interpolated",0,38.371,34.972,41.769,0.537,0.491,0.582
"12",3,"interpolated",0,38.371,34.972,41.769,0.537,0.491,0.582
"13",3,"interpolated",0,38.371,34.972,41.769,0.537,0.491,0.582
"14",4,"interpolated",0,46.247,42.126,50.368,0.599,0.555,0.644
"15",4,"interpolated",0,46.247,42.126,50.368,0.599,0.555,0.644
"16",4,"interpolated",0,46.247,42.126,50.368,0.599,0.555,0.644
"17",4,"interpolated",0,46.247,42.126,50.368,0.599,0.555,0.644
"18",4,"interpolated",0,46.247,42.126,50.368,0.599,0.555,0.644
"19",5,"interpolated",0,53.058,48.268,57.849,0.645,0.602,0.688
"20",5,"interpolated",0,53.058,48.268,57.849,0.645,0.602,0.688
"21",5,"interpolated",0,53.058,48.268,57.849,0.645,0.602,0.688
"22",5,"interpolated",0,53.058,48.268,57.849,0.645,0.602,0.688
"23",6,"interpolated",0,59.09,53.669,64.51,0.68,0.639,0.721
"24",6,"interpolated",0,59.09,53.669,64.51,0.68,0.639,0.721
"25",6,"interpolated",0,59.09,53.669,64.51,0.68,0.639,0.721
"26",6,"interpolated",0,59.09,53.669,64.51,0.68,0.639,0.721
"27",7,"interpolated",0,64.53,58.512,70.547,0.707,0.667,0.747
"28",7,"interpolated",0,64.53,58.512,70.547,0.707,0.667,0.747
"29",7,"interpolated",0,64.53,58.512,70.547,0.707,0.667,0.747
"30",7,"interpolated",0,64.53,58.512,70.547,0.707,0.667,0.747
"31",7,"interpolated",0,64.53,58.512,70.547,0.707,0.667,0.747
"32",8,"interpolated",0,69.509,62.922,76.096,0.729,0.69,0.768
"33",8,"interpolated",0,69.509,62.922,76.096,0.729,0.69,0.768
"34",8,"interpolated",0,69.509,62.922,76.096,0.729,0.69,0.768
"35",8,"interpolated",0,69.509,62.922,76.096,0.729,0.69,0.768
"36",9,"interpolated",0,74.119,66.987,81.251,0.747,0.709,0.785
"37",9,"interpolated",0,74.119,66.987,81.251,0.747,0.709,0.785
"38",9,"interpolated",0,74.119,66.987,81.251,0.747,0.709,0.785
"39",9,"interpolated",0,74.119,66.987,81.251,0.747,0.709,0.785
"40",10,"interpolated",0,78.427,70.77,86.083,0.762,0.724,0.799
"41",1,"interpolated",1,17,15.415,18.585,0.297,0.255,0.339
"42",1,"interpolated",1,17,15.415,18.585,0.297,0.255,0.339
"43",1,"interpolated",1,17,15.415,18.585,0.297,0.255,0.339
"44",1,"interpolated",1,17,15.415,18.585,0.297,0.255,0.339
"45",1,"interpolated",1,17,15.415,18.585,0.297,0.255,0.339
"46",2,"interpolated",1,27.671,25.255,30.088,0.446,0.401,0.491
"47",2,"interpolated",1,27.671,25.255,30.088,0.446,0.401,0.491
"48",2,"interpolated",1,27.671,25.255,30.088,0.446,0.401,0.491
"49",2,"interpolated",1,27.671,25.255,30.088,0.446,0.401,0.491
"50",3,"interpolated",1,35.256,32.172,38.339,0.537,0.492,0.582
"51",3,"interpolated",1,35.256,32.172,38.339,0.537,0.492,0.582
"52",3,"interpolated",1,35.256,32.172,38.339,0.537,0.492,0.582
"53",3,"interpolated",1,35.256,32.172,38.339,0.537,0.492,0.582
"54",4,"interpolated",1,41.033,37.375,44.69,0.599,0.556,0.643
"55",4,"interpolated",1,41.033,37.375,44.69,0.599,0.556,0.643
"56",4,"interpolated",1,41.033,37.375,44.69,0.599,0.556,0.643
"57",4,"interpolated",1,41.033,37.375,44.69,0.599,0.556,0.643
"58",4,"interpolated",1,41.033,37.375,44.69,0.599,0.556,0.643
"59",5,"interpolated",1,45.631,41.471,49.792,0.645,0.603,0.687
"60",5,"interpolated",1,45.631,41.471,49.792,0.645,0.603,0.687
"61",5,"interpolated",1,45.631,41.471,49.792,0.645,0.603,0.687
"62",5,"interpolated",1,45.631,41.471,49.792,0.645,0.603,0.687
"63",6,"interpolated",1,49.409,44.803,54.016,0.68,0.64,0.72
"64",6,"interpolated",1,49.409,44.803,54.016,0.68,0.64,0.72
"65",6,"interpolated",1,49.409,44.803,54.016,0.68,0.64,0.72
"66",6,"interpolated",1,49.409,44.803,54.016,0.68,0.64,0.72
"67",7,"interpolated",1,52.588,47.585,57.591,0.707,0.668,0.746
"68",7,"interpolated",1,52.588,47.585,57.591,0.707,0.668,0.746
"69",7,"interpolated",1,52.588,47.585,57.591,0.707,0.668,0.746
"70",7,"interpolated",1,52.588,47.585,57.591,0.707,0.668,0.746
"71",7,"interpolated",1,52.588,47.585,57.591,0.707,0.668,0.746
"72",8,"interpolated",1,55.315,49.956,60.673,0.729,0.691,0.767
"73",8,"interpolated",1,55.315,49.956,60.673,0.729,0.691,0.767
"74",8,"interpolated",1,55.315,49.956,60.673,0.729,0.691,0.767
"75",8,"interpolated",1,55.315,49.956,60.673,0.729,0.691,0.767
"76",9,"interpolated",1,57.689,52.01,63.367,0.747,0.709,0.784
"77",9,"interpolated",1,57.689,52.01,63.367,0.747,0.709,0.784
"78",9,"interpolated",1,57.689,52.01,63.367,0.747,0.709,0.784
"79",9,"interpolated",1,57.689,52.01,63.367,0.747,0.709,0.784
"80",10,"interpolated",1,59.782,53.814,65.75,0.762,0.725,0.798
"81",1,"interpolated",2,17,15.381,18.619,0.297,0.256,0.339
"82",1,"interpolated",2,17,15.381,18.619,0.297,0.256,0.339
"83",1,"interpolated",2,17,15.381,18.619,0.297,0.256,0.339
"84",1,"interpolated",2,17,15.381,18.619,0.297,0.256,0.339
"85",1,"interpolated",2,17,15.381,18.619,0.297,0.256,0.339
"86",2,"interpolated",2,26.211,23.864,28.559,0.446,0.4,0.491
"87",2,"interpolated",2,26.211,23.864,28.559,0.446,0.4,0.491
"88",2,"interpolated",2,26.211,23.864,28.559,0.446,0.4,0.491
"89",2,"interpolated",2,26.211,23.864,28.559,0.446,0.4,0.491
"90",3,"interpolated",2,31.989,29.072,34.906,0.537,0.491,0.582
"91",3,"interpolated",2,31.989,29.072,34.906,0.537,0.491,0.582
"92",3,"interpolated",2,31.989,29.072,34.906,0.537,0.491,0.582
"93",3,"interpolated",2,31.989,29.072,34.906,0.537,0.491,0.582
"94",4,"interpolated",2,35.952,32.565,39.338,0.599,0.555,0.644
"95",4,"interpolated",2,35.952,32.565,39.338,0.599,0.555,0.644
"96",4,"interpolated",2,35.952,32.565,39.338,0.599,0.555,0.644
"97",4,"interpolated",2,35.952,32.565,39.338,0.599,0.555,0.644
"98",4,"interpolated",2,35.952,32.565,39.338,0.599,0.555,0.644
"99",5,"interpolated",2,38.838,35.064,42.612,0.645,0.602,0.688
"100",5,"interpolated",2,38.838,35.064,42.612,0.645,0.602,0.688
"101",5,"interpolated",2,38.838,35.064,42.612,0.645,0.602,0.688
"102",5,"interpolated",2,38.838,35.064,42.612,0.645,0.602,0.688
"103",6,"interpolated",2,41.034,36.938,45.131,0.68,0.638,0.722
