"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,15,12.983,17.017,0.189,0.137,0.242
"2",1,"interpolated",0,15,12.983,17.017,0.189,0.137,0.242
"3",1,"interpolated",0,15,12.983,17.017,0.189,0.137,0.242
"4",1,"interpolated",0,15,12.983,17.017,0.189,0.137,0.242
"5",1,"interpolated",0,15,12.983,17.017,0.189,0.137,0.242
"6",2,"interpolated",0,27.164,23.811,30.516,0.325,0.259,0.39
"7",2,"interpolated",0,27.164,23.811,30.516,0.325,0.259,0.39
"8",2,"interpolated",0,27.164,23.811,30.516,0.325,0.259,0.39
"9",2,"interpolated",0,27.164,23.811,30.516,0.325,0.259,0.39
"10",3,"interpolated",0,37.291,32.842,41.74,0.423,0.355,0.49
"11",3,"interpolated",0,37.291,32.842,41.74,0.423,0.355,0.49
"12",3,"interpolated",0,37.291,32.842,41.74,0.423,0.355,0.49
"13",3,"interpolated",0,37.291,32.842,41.74,0.423,0.355,0.49
"14",4,"interpolated",0,45.952,40.534,51.369,0.494,0.427,0.561
"15",4,"interpolated",0,45.952,40.534,51.369,0.494,0.427,0.561
"16",4,"interpolated",0,45.952,40.534,51.369,0.494,0.427,0.561
"17",4,"interpolated",0,45.952,40.534,51.369,0.494,0.427,0.561
"18",4,"interpolated",0,45.952,40.534,51.369,0.494,0.427,0.561
"19",5,"interpolated",0,53.541,47.241,59.842,0.547,0.481,0.614
"20",5,"interpolated",0,53.541,47.241,59.842,0.547,0.481,0.614
"21",5,"interpolated",0,53.541,47.241,59.842,0.547,0.481,0.614
"22",5,"interpolated",0,53.541,47.241,59.842,0.547,0.481,0.614
"23",6,"interpolated",0,60.329,53.21,67.448,0.589,0.523,0.654
"24",6,"interpolated",0,60.329,53.21,67.448,0.589,0.523,0.654
"25",6,"interpolated",0,60.329,53.21,67.448,0.589,0.523,0.654
"26",6,"interpolated",0,60.329,53.21,67.448,0.589,0.523,0.654
"27",7,"interpolated",0,66.497,58.607,74.387,0.622,0.557,0.687
"28",7,"interpolated",0,66.497,58.607,74.387,0.622,0.557,0.687
"29",7,"interpolated",0,66.497,58.607,74.387,0.622,0.557,0.687
"30",7,"interpolated",0,66.497,58.607,74.387,0.622,0.557,0.687
"31",7,"interpolated",0,66.497,58.607,74.387,0.622,0.557,0.687
"32",8,"interpolated",0,72.17,63.545,80.795,0.649,0.583,0.714
"33",8,"interpolated",0,72.17,63.545,80.795,0.649,0.583,0.714
"34",8,"interpolated",0,72.17,63.545,80.795,0.649,0.583,0.714
"35",8,"interpolated",0,72.17,63.545,80.795,0.649,0.583,0.714
"36",9,"interpolated",0,77.436,68.1,86.772,0.672,0.605,0.738
"37",9,"interpolated",0,77.436,68.1,86.772,0.672,0.605,0.738
"38",9,"interpolated",0,77.436,68.1,86.772,0.672,0.605,0.738
"39",9,"interpolated",0,77.436,68.1,86.772,0.672,0.605,0.738
"40",10,"interpolated",0,82.364,72.33,92.397,0.691,0.623,0.759
"41",1,"interpolated",1,15,13.013,16.987,0.189,0.136,0.242
"42",1,"interpolated",1,15,13.013,16.987,0.189,0.136,0.242
"43",1,"interpolated",1,15,13.013,16.987,0.189,0.136,0.242
"44",1,"interpolated",1,15,13.013,16.987,0.189,0.136,0.242
"45",1,"interpolated",1,15,13.013,16.987,0.189,0.136,0.242
"46",2,"interpolated",1,26.315,23.138,29.492,0.325,0.259,0.391
"47",2,"interpolated",1,26.315,23.138,29.492,0.325,0.259,0.391
"48",2,"interpolated",1,26.315,23.138,29.492,0.325,0.259,0.391
"49",2,"interpolated",1,26.315,23.138,29.492,0.325,0.259,0.391
"50",3,"interpolated",1,35.159,31.001,39.317,0.423,0.355,0.491
"51",3,"interpolated",1,35.159,31.001,39.317,0.423,0.355,0.491
"52",3,"interpolated",1,35.159,31.001,39.317,0.423,0.355,0.491
"53",3,"interpolated",1,35.159,31.001,39.317,0.423,0.355,0.491
"54",4,"interpolated",1,42.29,37.254,47.327,0.494,0.427,0.561
"55",4,"interpolated",1,42.29,37.254,47.327,0.494,0.427,0.561
"56",4,"interpolated",1,42.29,37.254,47.327,0.494,0.427,0.561
"57",4,"interpolated",1,42.29,37.254,47.327,0.494,0.427,0.561
"58",4,"interpolated",1,42.29,37.254,47.327,0.494,0.427,0.561
"59",5,"interpolated",1,48.196,42.363,54.029,0.547,0.481,0.614
"60",5,"interpolated",1,48.196,42.363,54.029,0.547,0.481,0.614
"61",5,"interpolated",1,48.196,42.363,54.029,0.547,0.481,0.614
"62",5,"interpolated",1,48.196,42.363,54.029,0.547,0.481,0.614
"63",6,"interpolated",1,53.194,46.638,59.75,0.589,0.523,0.654
"64",6,"interpolated",1,53.194,46.638,59.75,0.589,0.523,0.654
"65",6,"interpolated",1,53.194,46.638,59.75,0.589,0.523,0.654
"66",6,"interpolated",1,53.194,46.638,59.75,0.589,0.523,0.654
"67",7,"interpolated",1,57.5,50.288,64.713,0.622,0.556,0.687
"68",7,"interpolated",1,57.5,50.288,64.713,0.622,0.556,0.687
"69",7,"interpolated",1,57.5,50.288,64.713,0.622,0.556,0.687
"70",7,"interpolated",1,57.5,50.288,64.713,0.622,0.556,0.687
"71",7,"interpolated",1,57.5,50.288,64.713,0.622,0.556,0.687
"72",8,"interpolated",1,61.263,53.453,69.074,0.649,0.583,0.715
"73",8,"interpolated",1,61.263,53.453,69.074,0.649,0.583,0.715
"74",8,"interpolated",1,61.263,53.453,69.074,0.649,0.583,0.715
