"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,15.5,12.444,18.556,0.269,0.17,0.367
"2",1,"interpolated",0,15.5,12.444,18.556,0.269,0.17,0.367
"3",1,"interpolated",0,15.5,12.444,18.556,0.269,0.17,0.367
"4",1,"interpolated",0,15.5,12.444,18.556,0.269,0.17,0.367
"5",1,"interpolated",0,15.5,12.444,18.556,0.269,0.17,0.367
"6",1,"interpolated",0,15.5,12.444,18.556,0.269,0.17,0.367
"7",1,"interpolated",0,15.5,12.444,18.556,0.269,0.17,0.367
"8",1,"interpolated",0,15.5,12.444,18.556,0.269,0.17,0.367
"9",1,"interpolated",0,15.5,12.444,18.556,0.269,0.17,0.367
"10",2,"interpolated",0,26.833,22.054,31.613,0.425,0.309,0.54
"11",2,"interpolated",0,26.833,22.054,31.613,0.425,0.309,0.54
"12",2,"interpolated",0,26.833,22.054,31.613,0.425,0.309,0.54
"13",2,"interpolated",0,26.833,22.054,31.613,0.425,0.309,0.54
"14",2,"interpolated",0,26.833,22.054,31.613,0.425,0.309,0.54
"15",2,"interpolated",0,26.833,22.054,31.613,0.425,0.309,0.54
"16",2,"interpolated",0,26.833,22.054,31.613,0.425,0.309,0.54
"17",2,"interpolated",0,26.833,22.054,31.613,0.425,0.309,0.54
"18",2,"interpolated",0,26.833,22.054,31.613,0.425,0.309,0.54
"19",3,"interpolated",0,35.75,29.606,41.894,0.532,0.404,0.661
"20",4,"observed",0,43,35.586,50.414,0.62,0.48,0.759
"21",5,"extrapolated",0,48.895,40.139,57.65,0.691,0.547,0.834
"22",5,"extrapolated",0,48.895,40.139,57.65,0.691,0.547,0.834
"23",5,"extrapolated",0,48.895,40.139,57.65,0.691,0.547,0.834
"24",5,"extrapolated",0,48.895,40.139,57.65,0.691,0.547,0.834
"25",6,"extrapolated",0,53.688,43.485,63.891,0.749,0.607,0.89
"26",6,"extrapolated",0,53.688,43.485,63.891,0.749,0.607,0.89
"27",6,"extrapolated",0,53.688,43.485,63.891,0.749,0.607,0.89
"28",6,"extrapolated",0,53.688,43.485,63.891,0.749,0.607,0.89
"29",7,"extrapolated",0,57.585,45.868,69.302,0.796,0.66,0.931
"30",7,"extrapolated",0,57.585,45.868,69.302,0.796,0.66,0.931
"31",7,"extrapolated",0,57.585,45.868,69.302,0.796,0.66,0.931
"32",7,"extrapolated",0,57.585,45.868,69.302,0.796,0.66,0.931
"33",8,"extrapolated",0,60.754,47.513,73.995,0.834,0.706,0.961
"34",8,"extrapolated",0,60.754,47.513,73.995,0.834,0.706,0.961
"35",8,"extrapolated",0,60.754,47.513,73.995,0.834,0.706,0.961
"36",8,"extrapolated",0,60.754,47.513,73.995,0.834,0.706,0.961
"37",9,"extrapolated",0,63.33,48.602,78.058,0.865,0.746,0.983
"38",9,"extrapolated",0,63.33,48.602,78.058,0.865,0.746,0.983
"39",9,"extrapolated",0,63.33,48.602,78.058,0.865,0.746,0.983
"40",10,"extrapolated",0,65.425,49.279,81.571,0.89,0.781,0.999
"41",1,"interpolated",1,15.5,12.449,18.551,0.269,0.17,0.367
"42",1,"interpolated",1,15.5,12.449,18.551,0.269,0.17,0.367
"43",1,"interpolated",1,15.5,12.449,18.551,0.269,0.17,0.367
"44",1,"interpolated",1,15.5,12.449,18.551,0.269,0.17,0.367
"45",1,"interpolated",1,15.5,12.449,18.551,0.269,0.17,0.367
"46",1,"interpolated",1,15.5,12.449,18.551,0.269,0.17,0.367
"47",1,"interpolated",1,15.5,12.449,18.551,0.269,0.17,0.367
"48",1,"interpolated",1,15.5,12.449,18.551,0.269,0.17,0.367
"49",1,"interpolated",1,15.5,12.449,18.551,0.269,0.17,0.367
