"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,13.316,11.924,14.707,0.253,0.209,0.298
"2",1,"interpolated",0,13.316,11.924,14.707,0.253,0.209,0.298
"3",1,"interpolated",0,13.316,11.924,14.707,0.253,0.209,0.298
"4",1,"interpolated",0,13.316,11.924,14.707,0.253,0.209,0.298
"5",1,"interpolated",0,13.316,11.924,14.707,0.253,0.209,0.298
"6",2,"interpolated",0,23.257,20.991,25.523,0.403,0.353,0.454
"7",2,"interpolated",0,23.257,20.991,25.523,0.403,0.353,0.454
"8",2,"interpolated",0,23.257,20.991,25.523,0.403,0.353,0.454
"9",2,"interpolated",0,23.257,20.991,25.523,0.403,0.353,0.454
"10",3,"interpolated",0,31.205,28.215,34.196,0.498,0.449,0.547
"11",3,"interpolated",0,31.205,28.215,34.196,0.498,0.449,0.547
"12",3,"interpolated",0,31.205,28.215,34.196,0.498,0.449,0.547
"13",3,"interpolated",0,31.205,28.215,34.196,0.498,0.449,0.547
"14",4,"interpolated",0,37.892,34.264,41.521,0.563,0.515,0.61
"15",4,"interpolated",0,37.892,34.264,41.521,0.563,0.515,0.61
"16",4,"interpolated",0,37.892,34.264,41.521,0.563,0.515,0.61
"17",4,"interpolated",0,37.892,34.264,41.521,0.563,0.515,0.61
"18",4,"interpolated",0,37.892,34.264,41.521,0.563,0.515,0.61
"19",5,"interpolated",0,43.716,39.515,47.916,0.611,0.565,0.656
"20",5,"interpolated",0,43.716,39.515,47.916,0.611,0.565,0.656
"21",5,"interpolated",0,43.716,39.515,47.916,0.611,0.565,0.656
"22",5,"interpolated",0,43.716,39.515,47.916,0.611,0.565,0.656
"23",6,"interpolated",0,48.901,44.179,53.623,0.648,0.604,0.692
"24",6,"interpolated",0,48.901,44.179,53.623,0.648,0.604,0.692
"25",6,"interpolated",0,48.901,44.179,53.623,0.648,0.604,0.692
"26",6,"interpolated",0,48.901,44.179,53.623,0.648,0.604,0.692
"27",7,"interpolated",0,53.587,48.385,58.79,0.679,0.636,0.721
"28",7,"interpolated",0,53.587,48.385,58.79,0.679,0.636,0.721
"29",7,"interpolated",0,53.587,48.385,58.79,0.679,0.636,0.721
"30",7,"interpolated",0,53.587,48.385,58.79,0.679,0.636,0.721
"31",7,"interpolated",0,53.587,48.385,58.79,0.679,0.636,0.721
"32",8,"interpolated",0,57.867,52.217,63.517,0.704,0.663,0.746
"33",8,"interpolated",0,57.867,52.217,63.517,0.704,0.663,0.746
"34",8,"interpolated",0,57.867,52.217,63.517,0.704,0.663,0.746
"35",8,"interpolated",0,57.867,52.217,63.517,0.704,0.663,0.746
"36",9,"interpolated",0,61.806,55.736,67.876,0.726,0.685,0.766
"37",9,"interpolated",0,61.806,55.736,67.876,0.726,0.685,0.766
"38",9,"interpolated",0,61.806,55.736,67.876,0.726,0.685,0.766
"39",9,"interpolated",0,61.806,55.736,67.876,0.726,0.685,0.766
"40",10,"interpolated",0,65.456,58.988,71.924,0.745,0.705,0.785
"41",1,"interpolated",1,13.316,11.931,14.701,0.253,0.208,0.298
"42",1,"interpolated",1,13.316,11.931,14.701,0.253,0.208,0.298
"43",1,"interpolated",1,13.316,11.931,14.701,0.253,0.208,0.298
"44",1,"interpolated",1,13.316,11.931,14.701,0.253,0.208,0.298
"45",1,"interpolated",1,13.316,11.931,14.701,0.253,0.208,0.298
"46",2,"interpolated",1,22.342,20.202,24.481,0.403,0.352,0.454
"47",2,"interpolated",1,22.342,20.202,24.481,0.403,0.352,0.454
"48",2,"interpolated",1,22.342,20.202,24.481,0.403,0.352,0.454
"49",2,"interpolated",1,22.342,20.202,24.481,0.403,0.352,0.454
"50",3,"interpolated",1,28.965,26.212,31.719,0.498,0.448,0.547
"51",3,"interpolated",1,28.965,26.212,31.719,0.498,0.448,0.547
"52",3,"interpolated",1,28.965,26.212,31.719,0.498,0.448,0.547
"53",3,"interpolated",1,28.965,26.212,31.719,0.498,0.448,0.547
"54",4,"interpolated",1,34.108,30.818,37.398,0.563,0.515,0.611
"55",4,"interpolated",1,34.108,30.818,37.398,0.563,0.515,0.611
"56",4,"interpolated",1,34.108,30.818,37.398,0.563,0.515,0.611
"57",4,"interpolated",1,34.108,30.818,37.398,0.563,0.515,0.611
"58",4,"interpolated",1,34.108,30.818,37.398,0.563,0.515,0.611
"59",5,"interpolated",1,38.262,34.498,42.025,0.611,0.564,0.657
"60",5,"interpolated",1,38.262,34.498,42.025,0.611,0.564,0.657
"61",5,"interpolated",1,38.262,34.498,42.025,0.611,0.564,0.657
"62",5,"interpolated",1,38.262,34.498,42.025,0.611,0.564,0.657
"63",6,"interpolated",1,41.713,37.531,45.895,0.648,0.603,0.693
"64",6,"interpolated",1,41.713,37.531,45.895,0.648,0.603,0.693
"65",6,"interpolated",1,41.713,37.531,45.895,0.648,0.603,0.693
"66",6,"interpolated",1,41.713,37.531,45.895,0.648,0.603,0.693
"67",7,"interpolated",1,44.641,40.086,49.197,0.679,0.635,0.722
"68",7,"interpolated",1,44.641,40.086,49.197,0.679,0.635,0.722
"69",7,"interpolated",1,44.641,40.086,49.197,0.679,0.635,0.722
"70",7,"interpolated",1,44.641,40.086,49.197,0.679,0.635,0.722
"71",7,"interpolated",1,44.641,40.086,49.197,0.679,0.635,0.722
"72",8,"interpolated",1,47.166,42.277,52.055,0.704,0.662,0.747
"73",8,"interpolated",1,47.166,42.277,52.055,0.704,0.662,0.747
"74",8,"interpolated",1,47.166,42.277,52.055,0.704,0.662,0.747
"75",8,"interpolated",1,47.166,42.277,52.055,0.704,0.662,0.747
"76",9,"interpolated",1,49.371,44.182,54.561,0.726,0.684,0.768
"77",9,"interpolated",1,49.371,44.182,54.561,0.726,0.684,0.768
"78",9,"interpolated",1,49.371,44.182,54.561,0.726,0.684,0.768
"79",9,"interpolated",1,49.371,44.182,54.561,0.726,0.684,0.768
"80",10,"interpolated",1,51.318,45.856,56.779,0.745,0.704,0.786
"81",1,"interpolated",2,13.316,11.922,14.709,0.253,0.209,0.298
"82",1,"interpolated",2,13.316,11.922,14.709,0.253,0.209,0.298
"83",1,"interpolated",2,13.316,11.922,14.709,0.253,0.209,0.298
"84",1,"interpolated",2,13.316,11.922,14.709,0.253,0.209,0.298
"85",1,"interpolated",2,13.316,11.922,14.709,0.253,0.209,0.298
"86",2,"interpolated",2,21.247,19.222,23.273,0.403,0.353,0.454
"87",2,"interpolated",2,21.247,19.222,23.273,0.403,0.353,0.454
"88",2,"interpolated",2,21.247,19.222,23.273,0.403,0.353,0.454
"89",2,"interpolated",2,21.247,19.222,23.273,0.403,0.353,0.454
"90",3,"interpolated",2,26.511,23.976,29.047,0.498,0.448,0.547
"91",3,"interpolated",2,26.511,23.976,29.047,0.498,0.448,0.547
"92",3,"interpolated",2,26.511,23.976,29.047,0.498,0.448,0.547
"93",3,"interpolated",2,26.511,23.976,29.047,0.498,0.448,0.547
"94",4,"interpolated",2,30.26,27.276,33.243,0.563,0.515,0.61
"95",4,"interpolated",2,30.26,27.276,33.243,0.563,0.515,0.61
"96",4,"interpolated",2,30.26,27.276,33.243,0.563,0.515,0.61
"97",4,"interpolated",2,30.26,27.276,33.243,0.563,0.515,0.61
