"","site","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","KZN1_Am",7,64,20,0.9081,7,4,1,1,1,5,1,0,0,0
"2","KZN2_Am",6,84,35,0.8788,13,9,5,4,2,2,0,0,0,0
"3","KZN4_Am",7,95,38,0.8376,18,9,1,4,0,2,4,0,0,0
"4","KZN5_Am",7,109,37,0.901,13,8,4,3,2,3,4,0,0,0
"5","KZN6_Am",7,121,59,0.7687,31,10,11,2,2,2,1,0,0,0
"6","KZN7_Am",7,93,41,0.8287,19,11,3,2,2,3,1,0,0,0
"7","MP1_Am",7,117,44,0.8848,16,9,7,5,2,3,2,0,0,0
"8","MP2_Am",7,89,41,0.7935,21,9,4,1,4,0,2,0,0,0
"9","MP4_Am",7,141,62,0.8104,30,11,5,10,3,2,1,0,0,0
"10","MP5_Am",7,90,42,0.8095,20,10,6,0,4,2,0,0,0,0
"11","MP6_Am",7,119,42,0.8969,15,10,2,4,6,3,2,0,0,0
"12","MP7_Am",7,37,16,0.8078,8,3,2,0,1,2,0,0,0,0
"13","KZN2_Vs",6,145,67,0.7741,37,12,5,2,5,6,0,0,0,0
"14","MP4_Vs",7,218,80,0.8652,34,16,9,4,4,2,11,0,0,0
