"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,24.167,21.532,26.801,0.494,0.438,0.549
"2",1,"interpolated",0,24.167,21.532,26.801,0.494,0.438,0.549
"3",1,"interpolated",0,24.167,21.532,26.801,0.494,0.438,0.549
"4",1,"interpolated",0,24.167,21.532,26.801,0.494,0.438,0.549
"5",1,"interpolated",0,24.167,21.532,26.801,0.494,0.438,0.549
"6",2,"interpolated",0,36.4,32.221,40.579,0.609,0.555,0.663
"7",2,"interpolated",0,36.4,32.221,40.579,0.609,0.555,0.663
"8",2,"interpolated",0,36.4,32.221,40.579,0.609,0.555,0.663
"9",2,"interpolated",0,36.4,32.221,40.579,0.609,0.555,0.663
"10",3,"interpolated",0,45.85,40.36,51.34,0.668,0.614,0.723
"11",3,"interpolated",0,45.85,40.36,51.34,0.668,0.614,0.723
"12",3,"interpolated",0,45.85,40.36,51.34,0.668,0.614,0.723
"13",3,"interpolated",0,45.85,40.36,51.34,0.668,0.614,0.723
"14",3,"interpolated",0,45.85,40.36,51.34,0.668,0.614,0.723
"15",4,"interpolated",0,53.867,47.221,60.512,0.712,0.655,0.768
"16",4,"interpolated",0,53.867,47.221,60.512,0.712,0.655,0.768
"17",4,"interpolated",0,53.867,47.221,60.512,0.712,0.655,0.768
"18",4,"interpolated",0,53.867,47.221,60.512,0.712,0.655,0.768
"19",5,"interpolated",0,60.833,53.119,68.548,0.745,0.684,0.806
"20",6,"observed",0,67,58.245,75.755,0.774,0.709,0.839
"21",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"22",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"23",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"24",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"25",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"26",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"27",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"28",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"29",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"30",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"31",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"32",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"33",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"34",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"35",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"36",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"37",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"38",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"39",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"40",7,"extrapolated",0,72.459,62.638,82.279,0.8,0.732,0.868
"41",1,"interpolated",1,24.167,21.544,26.789,0.494,0.439,0.548
"42",1,"interpolated",1,24.167,21.544,26.789,0.494,0.439,0.548
"43",1,"interpolated",1,24.167,21.544,26.789,0.494,0.439,0.548
"44",1,"interpolated",1,24.167,21.544,26.789,0.494,0.439,0.548
"45",1,"interpolated",1,24.167,21.544,26.789,0.494,0.439,0.548
"46",2,"interpolated",1,34.324,30.387,38.261,0.609,0.556,0.662
"47",2,"interpolated",1,34.324,30.387,38.261,0.609,0.556,0.662
"48",2,"interpolated",1,34.324,30.387,38.261,0.609,0.556,0.662
"49",2,"interpolated",1,34.324,30.387,38.261,0.609,0.556,0.662
"50",3,"interpolated",1,40.771,35.855,45.686,0.668,0.614,0.722
"51",3,"interpolated",1,40.771,35.855,45.686,0.668,0.614,0.722
"52",3,"interpolated",1,40.771,35.855,45.686,0.668,0.614,0.722
"53",3,"interpolated",1,40.771,35.855,45.686,0.668,0.614,0.722
"54",3,"interpolated",1,40.771,35.855,45.686,0.668,0.614,0.722
"55",4,"interpolated",1,45.44,39.766,51.113,0.712,0.655,0.768
"56",4,"interpolated",1,45.44,39.766,51.113,0.712,0.655,0.768
"57",4,"interpolated",1,45.44,39.766,51.113,0.712,0.655,0.768
"58",4,"interpolated",1,45.44,39.766,51.113,0.712,0.655,0.768
"59",5,"interpolated",1,49.033,42.75,55.316,0.745,0.684,0.805
"60",6,"observed",1,51.911,45.122,58.7,0.774,0.709,0.839
"61",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"62",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"63",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"64",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"65",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"66",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"67",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"68",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"69",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"70",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"71",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"72",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"73",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"74",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"75",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"76",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"77",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"78",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"79",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"80",7,"extrapolated",1,54.215,47.005,61.426,0.8,0.732,0.868
"81",1,"interpolated",2,24.167,21.514,26.82,0.494,0.438,0.55
"82",1,"interpolated",2,24.167,21.514,26.82,0.494,0.438,0.55
"83",1,"interpolated",2,24.167,21.514,26.82,0.494,0.438,0.55
"84",1,"interpolated",2,24.167,21.514,26.82,0.494,0.438,0.55
"85",1,"interpolated",2,24.167,21.514,26.82,0.494,0.438,0.55
"86",2,"interpolated",2,32.356,28.598,36.114,0.609,0.555,0.663
"87",2,"interpolated",2,32.356,28.598,36.114,0.609,0.555,0.663
"88",2,"interpolated",2,32.356,28.598,36.114,0.609,0.555,0.663
