"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,17.286,14.88,19.691,0.347,0.282,0.413
"2",1,"interpolated",0,17.286,14.88,19.691,0.347,0.282,0.413
"3",1,"interpolated",0,17.286,14.88,19.691,0.347,0.282,0.413
"4",1,"interpolated",0,17.286,14.88,19.691,0.347,0.282,0.413
"5",1,"interpolated",0,17.286,14.88,19.691,0.347,0.282,0.413
"6",1,"interpolated",0,17.286,14.88,19.691,0.347,0.282,0.413
"7",1,"interpolated",0,17.286,14.88,19.691,0.347,0.282,0.413
"8",2,"interpolated",0,28.571,24.817,32.326,0.506,0.436,0.575
"9",2,"interpolated",0,28.571,24.817,32.326,0.506,0.436,0.575
"10",2,"interpolated",0,28.571,24.817,32.326,0.506,0.436,0.575
"11",2,"interpolated",0,28.571,24.817,32.326,0.506,0.436,0.575
"12",2,"interpolated",0,28.571,24.817,32.326,0.506,0.436,0.575
"13",2,"interpolated",0,28.571,24.817,32.326,0.506,0.436,0.575
"14",3,"interpolated",0,37.114,32.253,41.975,0.603,0.534,0.672
"15",3,"interpolated",0,37.114,32.253,41.975,0.603,0.534,0.672
"16",3,"interpolated",0,37.114,32.253,41.975,0.603,0.534,0.672
"17",3,"interpolated",0,37.114,32.253,41.975,0.603,0.534,0.672
"18",3,"interpolated",0,37.114,32.253,41.975,0.603,0.534,0.672
"19",3,"interpolated",0,37.114,32.253,41.975,0.603,0.534,0.672
"20",3,"interpolated",0,37.114,32.253,41.975,0.603,0.534,0.672
"21",4,"interpolated",0,43.971,38.131,49.812,0.671,0.602,0.739
"22",4,"interpolated",0,43.971,38.131,49.812,0.671,0.602,0.739
"23",4,"interpolated",0,43.971,38.131,49.812,0.671,0.602,0.739
"24",4,"interpolated",0,43.971,38.131,49.812,0.671,0.602,0.739
"25",4,"interpolated",0,43.971,38.131,49.812,0.671,0.602,0.739
"26",4,"interpolated",0,43.971,38.131,49.812,0.671,0.602,0.739
"27",5,"interpolated",0,49.667,42.923,56.41,0.716,0.648,0.785
"28",5,"interpolated",0,49.667,42.923,56.41,0.716,0.648,0.785
"29",5,"interpolated",0,49.667,42.923,56.41,0.716,0.648,0.785
"30",5,"interpolated",0,49.667,42.923,56.41,0.716,0.648,0.785
"31",5,"interpolated",0,49.667,42.923,56.41,0.716,0.648,0.785
"32",5,"interpolated",0,49.667,42.923,56.41,0.716,0.648,0.785
"33",5,"interpolated",0,49.667,42.923,56.41,0.716,0.648,0.785
"34",6,"interpolated",0,54.571,46.97,62.173,0.744,0.673,0.815
"35",6,"interpolated",0,54.571,46.97,62.173,0.744,0.673,0.815
"36",6,"interpolated",0,54.571,46.97,62.173,0.744,0.673,0.815
"37",6,"interpolated",0,54.571,46.97,62.173,0.744,0.673,0.815
"38",6,"interpolated",0,54.571,46.97,62.173,0.744,0.673,0.815
"39",6,"interpolated",0,54.571,46.97,62.173,0.744,0.673,0.815
"40",7,"observed",0,59,50.553,67.447,0.769,0.695,0.843
"41",1,"interpolated",1,17.286,14.909,19.662,0.347,0.281,0.413
"42",1,"interpolated",1,17.286,14.909,19.662,0.347,0.281,0.413
"43",1,"interpolated",1,17.286,14.909,19.662,0.347,0.281,0.413
"44",1,"interpolated",1,17.286,14.909,19.662,0.347,0.281,0.413
"45",1,"interpolated",1,17.286,14.909,19.662,0.347,0.281,0.413
"46",1,"interpolated",1,17.286,14.909,19.662,0.347,0.281,0.413
"47",1,"interpolated",1,17.286,14.909,19.662,0.347,0.281,0.413
"48",2,"interpolated",1,27.179,23.688,30.669,0.506,0.436,0.576
"49",2,"interpolated",1,27.179,23.688,30.669,0.506,0.436,0.576
"50",2,"interpolated",1,27.179,23.688,30.669,0.506,0.436,0.576
"51",2,"interpolated",1,27.179,23.688,30.669,0.506,0.436,0.576
"52",2,"interpolated",1,27.179,23.688,30.669,0.506,0.436,0.576
"53",2,"interpolated",1,27.179,23.688,30.669,0.506,0.436,0.576
"54",3,"interpolated",1,33.835,29.473,38.198,0.603,0.534,0.672
"55",3,"interpolated",1,33.835,29.473,38.198,0.603,0.534,0.672
"56",3,"interpolated",1,33.835,29.473,38.198,0.603,0.534,0.672
"57",3,"interpolated",1,33.835,29.473,38.198,0.603,0.534,0.672
"58",3,"interpolated",1,33.835,29.473,38.198,0.603,0.534,0.672
"59",3,"interpolated",1,33.835,29.473,38.198,0.603,0.534,0.672
"60",3,"interpolated",1,33.835,29.473,38.198,0.603,0.534,0.672
"61",4,"interpolated",1,38.682,33.595,43.77,0.671,0.602,0.739
"62",4,"interpolated",1,38.682,33.595,43.77,0.671,0.602,0.739
"63",4,"interpolated",1,38.682,33.595,43.77,0.671,0.602,0.739
