"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,20.143,17.63,22.656,0.395,0.329,0.461
"2",1,"interpolated",0,20.143,17.63,22.656,0.395,0.329,0.461
"3",1,"interpolated",0,20.143,17.63,22.656,0.395,0.329,0.461
"4",1,"interpolated",0,20.143,17.63,22.656,0.395,0.329,0.461
"5",1,"interpolated",0,20.143,17.63,22.656,0.395,0.329,0.461
"6",1,"interpolated",0,20.143,17.63,22.656,0.395,0.329,0.461
"7",1,"interpolated",0,20.143,17.63,22.656,0.395,0.329,0.461
"8",2,"interpolated",0,32.333,28.629,36.038,0.577,0.513,0.641
"9",2,"interpolated",0,32.333,28.629,36.038,0.577,0.513,0.641
"10",2,"interpolated",0,32.333,28.629,36.038,0.577,0.513,0.641
"11",2,"interpolated",0,32.333,28.629,36.038,0.577,0.513,0.641
"12",2,"interpolated",0,32.333,28.629,36.038,0.577,0.513,0.641
"13",2,"interpolated",0,32.333,28.629,36.038,0.577,0.513,0.641
"14",3,"interpolated",0,40.857,36.147,45.567,0.674,0.614,0.733
"15",3,"interpolated",0,40.857,36.147,45.567,0.674,0.614,0.733
"16",3,"interpolated",0,40.857,36.147,45.567,0.674,0.614,0.733
"17",3,"interpolated",0,40.857,36.147,45.567,0.674,0.614,0.733
"18",3,"interpolated",0,40.857,36.147,45.567,0.674,0.614,0.733
"19",3,"interpolated",0,40.857,36.147,45.567,0.674,0.614,0.733
"20",3,"interpolated",0,40.857,36.147,45.567,0.674,0.614,0.733
"21",4,"interpolated",0,47.429,41.81,53.047,0.728,0.671,0.785
"22",4,"interpolated",0,47.429,41.81,53.047,0.728,0.671,0.785
"23",4,"interpolated",0,47.429,41.81,53.047,0.728,0.671,0.785
"24",4,"interpolated",0,47.429,41.81,53.047,0.728,0.671,0.785
"25",4,"interpolated",0,47.429,41.81,53.047,0.728,0.671,0.785
"26",4,"interpolated",0,47.429,41.81,53.047,0.728,0.671,0.785
"27",5,"interpolated",0,52.905,46.448,59.362,0.761,0.704,0.818
"28",5,"interpolated",0,52.905,46.448,59.362,0.761,0.704,0.818
"29",5,"interpolated",0,52.905,46.448,59.362,0.761,0.704,0.818
"30",5,"interpolated",0,52.905,46.448,59.362,0.761,0.704,0.818
"31",5,"interpolated",0,52.905,46.448,59.362,0.761,0.704,0.818
"32",5,"interpolated",0,52.905,46.448,59.362,0.761,0.704,0.818
"33",5,"interpolated",0,52.905,46.448,59.362,0.761,0.704,0.818
"34",6,"interpolated",0,57.714,50.459,64.969,0.787,0.728,0.846
