"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,31.143,28.53,33.755,0.563,0.523,0.603
"2",1,"interpolated",0,31.143,28.53,33.755,0.563,0.523,0.603
"3",1,"interpolated",0,31.143,28.53,33.755,0.563,0.523,0.603
"4",1,"interpolated",0,31.143,28.53,33.755,0.563,0.523,0.603
"5",1,"interpolated",0,31.143,28.53,33.755,0.563,0.523,0.603
"6",1,"interpolated",0,31.143,28.53,33.755,0.563,0.523,0.603
"7",1,"interpolated",0,31.143,28.53,33.755,0.563,0.523,0.603
"8",2,"interpolated",0,44.762,40.817,48.707,0.676,0.637,0.715
"9",2,"interpolated",0,44.762,40.817,48.707,0.676,0.637,0.715
"10",2,"interpolated",0,44.762,40.817,48.707,0.676,0.637,0.715
"11",2,"interpolated",0,44.762,40.817,48.707,0.676,0.637,0.715
"12",2,"interpolated",0,44.762,40.817,48.707,0.676,0.637,0.715
"13",2,"interpolated",0,44.762,40.817,48.707,0.676,0.637,0.715
"14",3,"interpolated",0,54.857,49.883,59.832,0.742,0.704,0.78
"15",3,"interpolated",0,54.857,49.883,59.832,0.742,0.704,0.78
"16",3,"interpolated",0,54.857,49.883,59.832,0.742,0.704,0.78
"17",3,"interpolated",0,54.857,49.883,59.832,0.742,0.704,0.78
"18",3,"interpolated",0,54.857,49.883,59.832,0.742,0.704,0.78
"19",3,"interpolated",0,54.857,49.883,59.832,0.742,0.704,0.78
"20",3,"interpolated",0,54.857,49.883,59.832,0.742,0.704,0.78
"21",4,"interpolated",0,62.886,57.043,68.728,0.787,0.749,0.824
"22",4,"interpolated",0,62.886,57.043,68.728,0.787,0.749,0.824
"23",4,"interpolated",0,62.886,57.043,68.728,0.787,0.749,0.824
"24",4,"interpolated",0,62.886,57.043,68.728,0.787,0.749,0.824
"25",4,"interpolated",0,62.886,57.043,68.728,0.787,0.749,0.824
"26",4,"interpolated",0,62.886,57.043,68.728,0.787,0.749,0.824
"27",5,"interpolated",0,69.524,62.905,76.143,0.82,0.782,0.858
"28",5,"interpolated",0,69.524,62.905,76.143,0.82,0.782,0.858
"29",5,"interpolated",0,69.524,62.905,76.143,0.82,0.782,0.858
"30",5,"interpolated",0,69.524,62.905,76.143,0.82,0.782,0.858
"31",5,"interpolated",0,69.524,62.905,76.143,0.82,0.782,0.858
"32",5,"interpolated",0,69.524,62.905,76.143,0.82,0.782,0.858
"33",5,"interpolated",0,69.524,62.905,76.143,0.82,0.782,0.858
"34",6,"interpolated",0,75.143,67.788,82.498,0.844,0.804,0.884
"35",6,"interpolated",0,75.143,67.788,82.498,0.844,0.804,0.884
"36",6,"interpolated",0,75.143,67.788,82.498,0.844,0.804,0.884
"37",6,"interpolated",0,75.143,67.788,82.498,0.844,0.804,0.884
"38",6,"interpolated",0,75.143,67.788,82.498,0.844,0.804,0.884
"39",6,"interpolated",0,75.143,67.788,82.498,0.844,0.804,0.884
"40",7,"observed",0,80,71.906,88.094,0.865,0.823,0.907
"41",1,"interpolated",1,31.143,28.586,33.7,0.563,0.523,0.602
"42",1,"interpolated",1,31.143,28.586,33.7,0.563,0.523,0.602
"43",1,"interpolated",1,31.143,28.586,33.7,0.563,0.523,0.602
"44",1,"interpolated",1,31.143,28.586,33.7,0.563,0.523,0.602
"45",1,"interpolated",1,31.143,28.586,33.7,0.563,0.523,0.602
"46",1,"interpolated",1,31.143,28.586,33.7,0.563,0.523,0.602
"47",1,"interpolated",1,31.143,28.586,33.7,0.563,0.523,0.602
"48",2,"interpolated",1,42.17,38.566,45.774,0.676,0.637,0.715
"49",2,"interpolated",1,42.17,38.566,45.774,0.676,0.637,0.715
"50",2,"interpolated",1,42.17,38.566,45.774,0.676,0.637,0.715
"51",2,"interpolated",1,42.17,38.566,45.774,0.676,0.637,0.715
"52",2,"interpolated",1,42.17,38.566,45.774,0.676,0.637,0.715
"53",2,"interpolated",1,42.17,38.566,45.774,0.676,0.637,0.715
"54",3,"interpolated",1,48.738,44.429,53.048,0.742,0.705,0.78
"55",3,"interpolated",1,48.738,44.429,53.048,0.742,0.705,0.78
"56",3,"interpolated",1,48.738,44.429,53.048,0.742,0.705,0.78
"57",3,"interpolated",1,48.738,44.429,53.048,0.742,0.705,0.78
"58",3,"interpolated",1,48.738,44.429,53.048,0.742,0.705,0.78
"59",3,"interpolated",1,48.738,44.429,53.048,0.742,0.705,0.78
"60",3,"interpolated",1,48.738,44.429,53.048,0.742,0.705,0.78
"61",4,"interpolated",1,53.215,48.394,58.036,0.787,0.75,0.824
"62",4,"interpolated",1,53.215,48.394,58.036,0.787,0.75,0.824
"63",4,"interpolated",1,53.215,48.394,58.036,0.787,0.75,0.824
"64",4,"interpolated",1,53.215,48.394,58.036,0.787,0.75,0.824
"65",4,"interpolated",1,53.215,48.394,58.036,0.787,0.75,0.824
"66",4,"interpolated",1,53.215,48.394,58.036,0.787,0.75,0.824
"67",5,"interpolated",1,56.498,51.288,61.709,0.82,0.781,0.858
"68",5,"interpolated",1,56.498,51.288,61.709,0.82,0.781,0.858
"69",5,"interpolated",1,56.498,51.288,61.709,0.82,0.781,0.858
"70",5,"interpolated",1,56.498,51.288,61.709,0.82,0.781,0.858
"71",5,"interpolated",1,56.498,51.288,61.709,0.82,0.781,0.858
"72",5,"interpolated",1,56.498,51.288,61.709,0.82,0.781,0.858
"73",5,"interpolated",1,56.498,51.288,61.709,0.82,0.781,0.858
"74",6,"interpolated",1,59.021,53.502,64.54,0.844,0.803,0.885
"75",6,"interpolated",1,59.021,53.502,64.54,0.844,0.803,0.885
"76",6,"interpolated",1,59.021,53.502,64.54,0.844,0.803,0.885
"77",6,"interpolated",1,59.021,53.502,64.54,0.844,0.803,0.885
"78",6,"interpolated",1,59.021,53.502,64.54,0.844,0.803,0.885
"79",6,"interpolated",1,59.021,53.502,64.54,0.844,0.803,0.885
"80",7,"observed",1,61.028,55.257,66.8,0.865,0.823,0.908
"81",1,"interpolated",2,31.143,28.543,33.743,0.563,0.523,0.603
"82",1,"interpolated",2,31.143,28.543,33.743,0.563,0.523,0.603
"83",1,"interpolated",2,31.143,28.543,33.743,0.563,0.523,0.603
"84",1,"interpolated",2,31.143,28.543,33.743,0.563,0.523,0.603
"85",1,"interpolated",2,31.143,28.543,33.743,0.563,0.523,0.603
"86",1,"interpolated",2,31.143,28.543,33.743,0.563,0.523,0.603
"87",1,"interpolated",2,31.143,28.543,33.743,0.563,0.523,0.603
"88",2,"interpolated",2,39.858,36.386,43.329,0.676,0.637,0.715
"89",2,"interpolated",2,39.858,36.386,43.329,0.676,0.637,0.715
"90",2,"interpolated",2,39.858,36.386,43.329,0.676,0.637,0.715
"91",2,"interpolated",2,39.858,36.386,43.329,0.676,0.637,0.715
"92",2,"interpolated",2,39.858,36.386,43.329,0.676,0.637,0.715
"93",2,"interpolated",2,39.858,36.386,43.329,0.676,0.637,0.715
"94",3,"interpolated",2,43.958,39.975,47.942,0.742,0.705,0.78
"95",3,"interpolated",2,43.958,39.975,47.942,0.742,0.705,0.78
"96",3,"interpolated",2,43.958,39.975,47.942,0.742,0.705,0.78
"97",3,"interpolated",2,43.958,39.975,47.942,0.742,0.705,0.78
"98",3,"interpolated",2,43.958,39.975,47.942,0.742,0.705,0.78
"99",3,"interpolated",2,43.958,39.975,47.942,0.742,0.705,0.78
