"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","A","Species richness",29,37.679,7.809,30.918,68.265
"2","A","Shannon diversity",24.905,30.026,2.612,24.906,35.145
"3","A","Simpson diversity",22.546,26.592,2.176,22.546,30.857
"4","B","Species richness",23,32.6,7.462,25.495,59.935
"5","B","Shannon diversity",18.508,25.061,3.564,18.508,32.048
"6","B","Simpson diversity",15.234,17.849,1.934,15.234,21.64
"7","C","Species richness",56,110.857,28.411,77.101,198.614
"8","C","Shannon diversity",45.718,72.544,7.993,56.877,88.211
"9","C","Simpson diversity",38.291,50.032,4.931,40.367,59.697
"10","D","Species richness",43,68.929,15.238,51.915,118.407
"11","D","Shannon diversity",34.791,49.082,5.035,39.214,58.949
"12","D","Simpson diversity",29.319,36.448,3.848,29.319,43.99
"13","E","Species richness",28,105.357,65.797,46.218,356.478
"14","E","Shannon diversity",22.75,49.934,14.702,22.75,78.749
"15","E","Simpson diversity",18.612,25.343,5.869,18.612,36.846
"16","F","Species richness",31,46.429,9.735,35.961,78.985
"17","F","Shannon diversity",27.722,44.937,5.783,33.603,56.271
"18","F","Simpson diversity",24.753,42.143,5.792,30.791,53.495
"19","G","Species richness",29,71.857,29.485,41.651,174.181
"20","G","Shannon diversity",24.96,51.705,13.311,25.615,77.795
"21","G","Simpson diversity",21.316,34.086,6.843,21.316,47.497
"22","H","Species richness",38,90.071,30.094,56.182,187.128
"23","H","Shannon diversity",32.629,68.574,11.909,45.233,91.915
"24","H","Simpson diversity",27.303,44.272,8.209,28.183,60.36
"25","I","Species richness",57,101.182,20.941,75.283,163.766
"26","I","Shannon diversity",49.402,81.195,9.056,63.445,98.945
"27","I","Simpson diversity",42.747,59.486,5.383,48.936,70.035
"28","J","Species richness",44,75.25,17.595,55.173,131.4
"29","J","Shannon diversity",36.541,54.935,6.233,42.717,67.152
"30","J","Simpson diversity",30.892,39.091,3.449,32.331,45.852
"31","K","Species richness",49,75.133,13.439,59.113,116.533
"32","K","Shannon diversity",41.19,61.483,5.994,49.735,73.23
"33","K","Simpson diversity",34.562,45.545,3.969,37.767,53.324
"34","L","Species richness",27,51.107,18.01,33.536,115.922
"35","L","Shannon diversity",21.367,31.882,4.926,22.228,41.536
"36","L","Simpson diversity",17.705,21.61,3.027,17.705,27.543
"37","M","Species richness",24,40.333,12.079,28.476,83.608
"38","M","Shannon diversity",20.483,32.459,5.81,21.073,43.846
"39","M","Simpson diversity",17.64,24.908,3.663,17.728,32.088
"40","N","Species richness",49,95.875,24.789,66.711,173.062
"41","N","Shannon diversity",40.275,67.229,8.085,51.383,83.075
"42","N","Simpson diversity",32.766,43.465,4.33,34.978,51.953
"43","O","Species richness",43,74.537,16.376,55.104,125.173
"44","O","Shannon diversity",38.653,68.296,9.403,49.867,86.725
"45","O","Simpson diversity",34.321,56.98,5.74,45.731,68.229
"46","P","Species richness",73,106.976,14.947,87.899,150.481
"47","P","Shannon diversity",62.103,88.234,7.12,74.28,102.189
"48","P","Simpson diversity",53.473,69.852,4.251,61.52,78.185
