"","site","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","KZN1_Am",7,81,29,0.9032,9,4,5,6,5,0,0,0,0,0
"2","KZN2_Am",5,47,23,0.7957,12,6,1,0,4,0,0,0,0,0
"3","KZN4_Am",7,110,56,0.7315,32,8,7,4,5,0,0,0,0,0
"4","KZN5_Am",7,93,43,0.789,22,8,3,4,6,0,0,0,0,0
"5","KZN6_Am",7,49,28,0.6254,19,2,4,1,2,0,0,0,0,0
"6","KZN7_Am",7,49,31,0.6851,18,9,3,1,0,0,0,0,0,0
"7","MP1_Am",7,45,29,0.5833,20,4,3,2,0,0,0,0,0,0
"8","MP2_Am",7,57,38,0.559,27,6,3,1,1,0,0,0,0,0
"9","MP3_Am",4,92,57,0.6749,36,11,6,4,0,0,0,0,0,0
"10","MP4_Am",5,83,44,0.7403,25,8,4,5,2,0,0,0,0,0
"11","MP5_Am",5,87,49,0.735,28,12,4,2,3,0,0,0,0,0
"12","MP6_Am",7,58,27,0.7625,15,4,2,1,5,0,0,0,0,0
"13","MP7_Am",6,42,24,0.7083,14,5,2,3,0,0,0,0,0,0
"14","KZN2_Vs",6,87,49,0.6884,30,8,8,0,1,2,0,0,0,0
"15","MP3_Vs",4,62,43,0.6197,29,10,3,1,0,0,0,0,0,0
"16","MP4_Vs",5,137,73,0.7733,38,17,10,5,3,0,0,0,0,0
