"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,11.571,9.78,13.362,0.432,0.338,0.526
"2",1,"interpolated",0,11.571,9.78,13.362,0.432,0.338,0.526
"3",1,"interpolated",0,11.571,9.78,13.362,0.432,0.338,0.526
"4",1,"interpolated",0,11.571,9.78,13.362,0.432,0.338,0.526
"5",1,"interpolated",0,11.571,9.78,13.362,0.432,0.338,0.526
"6",1,"interpolated",0,11.571,9.78,13.362,0.432,0.338,0.526
"7",1,"interpolated",0,11.571,9.78,13.362,0.432,0.338,0.526
"8",2,"interpolated",0,18.143,15.837,20.448,0.669,0.586,0.753
"9",2,"interpolated",0,18.143,15.837,20.448,0.669,0.586,0.753
"10",2,"interpolated",0,18.143,15.837,20.448,0.669,0.586,0.753
"11",2,"interpolated",0,18.143,15.837,20.448,0.669,0.586,0.753
"12",2,"interpolated",0,18.143,15.837,20.448,0.669,0.586,0.753
"13",2,"interpolated",0,18.143,15.837,20.448,0.669,0.586,0.753
"14",3,"interpolated",0,21.971,19.252,24.691,0.788,0.718,0.857
"15",3,"interpolated",0,21.971,19.252,24.691,0.788,0.718,0.857
"16",3,"interpolated",0,21.971,19.252,24.691,0.788,0.718,0.857
"17",3,"interpolated",0,21.971,19.252,24.691,0.788,0.718,0.857
"18",3,"interpolated",0,21.971,19.252,24.691,0.788,0.718,0.857
"19",3,"interpolated",0,21.971,19.252,24.691,0.788,0.718,0.857
"20",3,"interpolated",0,21.971,19.252,24.691,0.788,0.718,0.857
"21",4,"interpolated",0,24.429,21.312,27.545,0.844,0.782,0.905
"22",4,"interpolated",0,24.429,21.312,27.545,0.844,0.782,0.905
"23",4,"interpolated",0,24.429,21.312,27.545,0.844,0.782,0.905
"24",4,"interpolated",0,24.429,21.312,27.545,0.844,0.782,0.905
"25",4,"interpolated",0,24.429,21.312,27.545,0.844,0.782,0.905
"26",4,"interpolated",0,24.429,21.312,27.545,0.844,0.782,0.905
"27",5,"interpolated",0,26.238,22.741,29.735,0.872,0.814,0.931
"28",5,"interpolated",0,26.238,22.741,29.735,0.872,0.814,0.931
"29",5,"interpolated",0,26.238,22.741,29.735,0.872,0.814,0.931
"30",5,"interpolated",0,26.238,22.741,29.735,0.872,0.814,0.931
"31",5,"interpolated",0,26.238,22.741,29.735,0.872,0.814,0.931
"32",5,"interpolated",0,26.238,22.741,29.735,0.872,0.814,0.931
"33",5,"interpolated",0,26.238,22.741,29.735,0.872,0.814,0.931
"34",6,"interpolated",0,27.714,23.846,31.582,0.889,0.83,0.948
"35",6,"interpolated",0,27.714,23.846,31.582,0.889,0.83,0.948
"36",6,"interpolated",0,27.714,23.846,31.582,0.889,0.83,0.948
"37",6,"interpolated",0,27.714,23.846,31.582,0.889,0.83,0.948
"38",6,"interpolated",0,27.714,23.846,31.582,0.889,0.83,0.948
"39",6,"interpolated",0,27.714,23.846,31.582,0.889,0.83,0.948
"40",7,"observed",0,29,24.756,33.244,0.903,0.843,0.963
"41",1,"interpolated",1,11.571,9.782,13.361,0.432,0.34,0.525
"42",1,"interpolated",1,11.571,9.782,13.361,0.432,0.34,0.525
"43",1,"interpolated",1,11.571,9.782,13.361,0.432,0.34,0.525
"44",1,"interpolated",1,11.571,9.782,13.361,0.432,0.34,0.525
"45",1,"interpolated",1,11.571,9.782,13.361,0.432,0.34,0.525
"46",1,"interpolated",1,11.571,9.782,13.361,0.432,0.34,0.525
"47",1,"interpolated",1,11.571,9.782,13.361,0.432,0.34,0.525
"48",2,"interpolated",1,17.153,14.966,19.34,0.669,0.587,0.751
"49",2,"interpolated",1,17.153,14.966,19.34,0.669,0.587,0.751
"50",2,"interpolated",1,17.153,14.966,19.34,0.669,0.587,0.751
"51",2,"interpolated",1,17.153,14.966,19.34,0.669,0.587,0.751
"52",2,"interpolated",1,17.153,14.966,19.34,0.669,0.587,0.751
"53",2,"interpolated",1,17.153,14.966,19.34,0.669,0.587,0.751
"54",3,"interpolated",1,20.171,17.661,22.681,0.788,0.719,0.856
"55",3,"interpolated",1,20.171,17.661,22.681,0.788,0.719,0.856
"56",3,"interpolated",1,20.171,17.661,22.681,0.788,0.719,0.856
"57",3,"interpolated",1,20.171,17.661,22.681,0.788,0.719,0.856
"58",3,"interpolated",1,20.171,17.661,22.681,0.788,0.719,0.856
"59",3,"interpolated",1,20.171,17.661,22.681,0.788,0.719,0.856
"60",3,"interpolated",1,20.171,17.661,22.681,0.788,0.719,0.856
"61",4,"interpolated",1,22.013,19.231,24.796,0.844,0.783,0.904
"62",4,"interpolated",1,22.013,19.231,24.796,0.844,0.783,0.904
"63",4,"interpolated",1,22.013,19.231,24.796,0.844,0.783,0.904
"64",4,"interpolated",1,22.013,19.231,24.796,0.844,0.783,0.904
"65",4,"interpolated",1,22.013,19.231,24.796,0.844,0.783,0.904
"66",4,"interpolated",1,22.013,19.231,24.796,0.844,0.783,0.904
"67",5,"interpolated",1,23.267,20.261,26.272,0.872,0.814,0.93
"68",5,"interpolated",1,23.267,20.261,26.272,0.872,0.814,0.93
"69",5,"interpolated",1,23.267,20.261,26.272,0.872,0.814,0.93
"70",5,"interpolated",1,23.267,20.261,26.272,0.872,0.814,0.93
"71",5,"interpolated",1,23.267,20.261,26.272,0.872,0.814,0.93
"72",5,"interpolated",1,23.267,20.261,26.272,0.872,0.814,0.93
"73",5,"interpolated",1,23.267,20.261,26.272,0.872,0.814,0.93
"74",6,"interpolated",1,24.188,21.001,27.376,0.889,0.83,0.948
"75",6,"interpolated",1,24.188,21.001,27.376,0.889,0.83,0.948
"76",6,"interpolated",1,24.188,21.001,27.376,0.889,0.83,0.948
"77",6,"interpolated",1,24.188,21.001,27.376,0.889,0.83,0.948
"78",6,"interpolated",1,24.188,21.001,27.376,0.889,0.83,0.948
"79",6,"interpolated",1,24.188,21.001,27.376,0.889,0.83,0.948
"80",7,"observed",1,24.905,21.566,28.243,0.903,0.843,0.963
"81",1,"interpolated",2,11.571,9.747,13.396,0.432,0.338,0.526
"82",1,"interpolated",2,11.571,9.747,13.396,0.432,0.338,0.526
"83",1,"interpolated",2,11.571,9.747,13.396,0.432,0.338,0.526
"84",1,"interpolated",2,11.571,9.747,13.396,0.432,0.338,0.526
"85",1,"interpolated",2,11.571,9.747,13.396,0.432,0.338,0.526
"86",1,"interpolated",2,11.571,9.747,13.396,0.432,0.338,0.526
"87",1,"interpolated",2,11.571,9.747,13.396,0.432,0.338,0.526
"88",2,"interpolated",2,16.16,14.065,18.255,0.669,0.586,0.753
"89",2,"interpolated",2,16.16,14.065,18.255,0.669,0.586,0.753
"90",2,"interpolated",2,16.16,14.065,18.255,0.669,0.586,0.753
"91",2,"interpolated",2,16.16,14.065,18.255,0.669,0.586,0.753
"92",2,"interpolated",2,16.16,14.065,18.255,0.669,0.586,0.753
"93",2,"interpolated",2,16.16,14.065,18.255,0.669,0.586,0.753
"94",3,"interpolated",2,18.622,16.281,20.962,0.788,0.718,0.858
"95",3,"interpolated",2,18.622,16.281,20.962,0.788,0.718,0.858
"96",3,"interpolated",2,18.622,16.281,20.962,0.788,0.718,0.858
"97",3,"interpolated",2,18.622,16.281,20.962,0.788,0.718,0.858
"98",3,"interpolated",2,18.622,16.281,20.962,0.788,0.718,0.858
"99",3,"interpolated",2,18.622,16.281,20.962,0.788,0.718,0.858
"100",3,"interpolated",2,18.622,16.281,20.962,0.788,0.718,0.858
"101",4,"interpolated",2,20.157,17.602,22.711,0.844,0.781,0.906
"102",4,"interpolated",2,20.157,17.602,22.711,0.844,0.781,0.906
"103",4,"interpolated",2,20.157,17.602,22.711,0.844,0.781,0.906
"104",4,"interpolated",2,20.157,17.602,22.711,0.844,0.781,0.906
"105",4,"interpolated",2,20.157,17.602,22.711,0.844,0.781,0.906
"106",4,"interpolated",2,20.157,17.602,22.711,0.844,0.781,0.906
"107",5,"interpolated",2,21.206,18.474,23.937,0.872,0.814,0.931
"108",5,"interpolated",2,21.206,18.474,23.937,0.872,0.814,0.931
"109",5,"interpolated",2,21.206,18.474,23.937,0.872,0.814,0.931
"110",5,"interpolated",2,21.206,18.474,23.937,0.872,0.814,0.931
"111",5,"interpolated",2,21.206,18.474,23.937,0.872,0.814,0.931
"112",5,"interpolated",2,21.206,18.474,23.937,0.872,0.814,0.931
"113",5,"interpolated",2,21.206,18.474,23.937,0.872,0.814,0.931
"114",6,"interpolated",2,21.968,19.093,24.843,0.889,0.829,0.949
"115",6,"interpolated",2,21.968,19.093,24.843,0.889,0.829,0.949
"116",6,"interpolated",2,21.968,19.093,24.843,0.889,0.829,0.949
"117",6,"interpolated",2,21.968,19.093,24.843,0.889,0.829,0.949
"118",6,"interpolated",2,21.968,19.093,24.843,0.889,0.829,0.949
"119",6,"interpolated",2,21.968,19.093,24.843,0.889,0.829,0.949
"120",7,"observed",2,22.546,19.553,25.539,0.903,0.843,0.964
