"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,14.5,12.116,16.884,0.331,0.259,0.403
"2",1,"interpolated",0,14.5,12.116,16.884,0.331,0.259,0.403
"3",1,"interpolated",0,14.5,12.116,16.884,0.331,0.259,0.403
"4",1,"interpolated",0,14.5,12.116,16.884,0.331,0.259,0.403
"5",1,"interpolated",0,14.5,12.116,16.884,0.331,0.259,0.403
"6",2,"interpolated",0,24.2,20.331,28.069,0.462,0.378,0.547
"7",2,"interpolated",0,24.2,20.331,28.069,0.462,0.378,0.547
"8",2,"interpolated",0,24.2,20.331,28.069,0.462,0.378,0.547
"9",2,"interpolated",0,24.2,20.331,28.069,0.462,0.378,0.547
"10",3,"interpolated",0,32,26.892,37.108,0.554,0.466,0.642
"11",3,"interpolated",0,32,26.892,37.108,0.554,0.466,0.642
"12",3,"interpolated",0,32,26.892,37.108,0.554,0.466,0.642
"13",3,"interpolated",0,32,26.892,37.108,0.554,0.466,0.642
"14",3,"interpolated",0,32,26.892,37.108,0.554,0.466,0.642
"15",4,"interpolated",0,38.467,32.237,44.696,0.618,0.528,0.709
"16",4,"interpolated",0,38.467,32.237,44.696,0.618,0.528,0.709
"17",4,"interpolated",0,38.467,32.237,44.696,0.618,0.528,0.709
"18",4,"interpolated",0,38.467,32.237,44.696,0.618,0.528,0.709
"19",5,"interpolated",0,44,36.712,51.288,0.655,0.559,0.751
"20",6,"observed",0,49,40.669,57.331,0.688,0.587,0.79
"21",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"22",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"23",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"24",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"25",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"26",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"27",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"28",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"29",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"30",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"31",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"32",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"33",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"34",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"35",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"36",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"37",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"38",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"39",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"40",7,"extrapolated",0,53.518,44.122,62.914,0.718,0.612,0.825
"41",1,"interpolated",1,14.5,12.091,16.909,0.331,0.26,0.402
"42",1,"interpolated",1,14.5,12.091,16.909,0.331,0.26,0.402
"43",1,"interpolated",1,14.5,12.091,16.909,0.331,0.26,0.402
"44",1,"interpolated",1,14.5,12.091,16.909,0.331,0.26,0.402
"45",1,"interpolated",1,14.5,12.091,16.909,0.331,0.26,0.402
"46",2,"interpolated",1,23.054,19.322,26.786,0.462,0.378,0.546
"47",2,"interpolated",1,23.054,19.322,26.786,0.462,0.378,0.546
"48",2,"interpolated",1,23.054,19.322,26.786,0.462,0.378,0.546
"49",2,"interpolated",1,23.054,19.322,26.786,0.462,0.378,0.546
"50",3,"interpolated",1,29.119,24.353,33.885,0.554,0.467,0.641
"51",3,"interpolated",1,29.119,24.353,33.885,0.554,0.467,0.641
"52",3,"interpolated",1,29.119,24.353,33.885,0.554,0.467,0.641
"53",3,"interpolated",1,29.119,24.353,33.885,0.554,0.467,0.641
"54",3,"interpolated",1,29.119,24.353,33.885,0.554,0.467,0.641
"55",4,"interpolated",1,33.695,28.066,39.324,0.618,0.529,0.708
"56",4,"interpolated",1,33.695,28.066,39.324,0.618,0.529,0.708
"57",4,"interpolated",1,33.695,28.066,39.324,0.618,0.529,0.708
"58",4,"interpolated",1,33.695,28.066,39.324,0.618,0.529,0.708
"59",5,"interpolated",1,37.302,30.934,43.671,0.655,0.561,0.75
"60",6,"observed",1,40.275,33.262,47.288,0.688,0.588,0.788
"61",7,"extrapolated",1,42.725,35.149,50.301,0.718,0.614,0.823
"62",7,"extrapolated",1,42.725,35.149,50.301,0.718,0.614,0.823
