"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,8.143,6.313,9.973,0.181,0.087,0.276
"2",1,"interpolated",0,8.143,6.313,9.973,0.181,0.087,0.276
"3",1,"interpolated",0,8.143,6.313,9.973,0.181,0.087,0.276
"4",1,"interpolated",0,8.143,6.313,9.973,0.181,0.087,0.276
"5",1,"interpolated",0,8.143,6.313,9.973,0.181,0.087,0.276
"6",1,"interpolated",0,8.143,6.313,9.973,0.181,0.087,0.276
"7",1,"interpolated",0,8.143,6.313,9.973,0.181,0.087,0.276
"8",2,"interpolated",0,14.81,11.695,17.924,0.303,0.192,0.414
"9",2,"interpolated",0,14.81,11.695,17.924,0.303,0.192,0.414
"10",2,"interpolated",0,14.81,11.695,17.924,0.303,0.192,0.414
"11",2,"interpolated",0,14.81,11.695,17.924,0.303,0.192,0.414
"12",2,"interpolated",0,14.81,11.695,17.924,0.303,0.192,0.414
"13",2,"interpolated",0,14.81,11.695,17.924,0.303,0.192,0.414
"14",3,"interpolated",0,20.486,16.253,24.718,0.386,0.268,0.504
"15",3,"interpolated",0,20.486,16.253,24.718,0.386,0.268,0.504
"16",3,"interpolated",0,20.486,16.253,24.718,0.386,0.268,0.504
"17",3,"interpolated",0,20.486,16.253,24.718,0.386,0.268,0.504
"18",3,"interpolated",0,20.486,16.253,24.718,0.386,0.268,0.504
"19",3,"interpolated",0,20.486,16.253,24.718,0.386,0.268,0.504
"20",3,"interpolated",0,20.486,16.253,24.718,0.386,0.268,0.504
"21",4,"interpolated",0,25.486,20.233,30.738,0.446,0.323,0.569
"22",4,"interpolated",0,25.486,20.233,30.738,0.446,0.323,0.569
"23",4,"interpolated",0,25.486,20.233,30.738,0.446,0.323,0.569
"24",4,"interpolated",0,25.486,20.233,30.738,0.446,0.323,0.569
"25",4,"interpolated",0,25.486,20.233,30.738,0.446,0.323,0.569
"26",4,"interpolated",0,25.486,20.233,30.738,0.446,0.323,0.569
"27",5,"interpolated",0,30,23.789,36.211,0.491,0.362,0.62
"28",5,"interpolated",0,30,23.789,36.211,0.491,0.362,0.62
"29",5,"interpolated",0,30,23.789,36.211,0.491,0.362,0.62
"30",5,"interpolated",0,30,23.789,36.211,0.491,0.362,0.62
"31",5,"interpolated",0,30,23.789,36.211,0.491,0.362,0.62
"32",5,"interpolated",0,30,23.789,36.211,0.491,0.362,0.62
"33",5,"interpolated",0,30,23.789,36.211,0.491,0.362,0.62
"34",6,"interpolated",0,34.143,27.009,41.277,0.526,0.389,0.663
"35",6,"interpolated",0,34.143,27.009,41.277,0.526,0.389,0.663
"36",6,"interpolated",0,34.143,27.009,41.277,0.526,0.389,0.663
"37",6,"interpolated",0,34.143,27.009,41.277,0.526,0.389,0.663
"38",6,"interpolated",0,34.143,27.009,41.277,0.526,0.389,0.663
"39",6,"interpolated",0,34.143,27.009,41.277,0.526,0.389,0.663
"40",7,"observed",0,38,29.954,46.046,0.559,0.413,0.705
"41",1,"interpolated",1,8.143,6.282,10.004,0.181,0.087,0.276
"42",1,"interpolated",1,8.143,6.282,10.004,0.181,0.087,0.276
"43",1,"interpolated",1,8.143,6.282,10.004,0.181,0.087,0.276
"44",1,"interpolated",1,8.143,6.282,10.004,0.181,0.087,0.276
"45",1,"interpolated",1,8.143,6.282,10.004,0.181,0.087,0.276
"46",1,"interpolated",1,8.143,6.282,10.004,0.181,0.087,0.276
"47",1,"interpolated",1,8.143,6.282,10.004,0.181,0.087,0.276
"48",2,"interpolated",1,14.363,11.294,17.431,0.303,0.191,0.414
"49",2,"interpolated",1,14.363,11.294,17.431,0.303,0.191,0.414
"50",2,"interpolated",1,14.363,11.294,17.431,0.303,0.191,0.414
"51",2,"interpolated",1,14.363,11.294,17.431,0.303,0.191,0.414
"52",2,"interpolated",1,14.363,11.294,17.431,0.303,0.191,0.414
"53",2,"interpolated",1,14.363,11.294,17.431,0.303,0.191,0.414
"54",3,"interpolated",1,19.329,15.223,23.435,0.386,0.269,0.503
"55",3,"interpolated",1,19.329,15.223,23.435,0.386,0.269,0.503
"56",3,"interpolated",1,19.329,15.223,23.435,0.386,0.269,0.503
"57",3,"interpolated",1,19.329,15.223,23.435,0.386,0.269,0.503
"58",3,"interpolated",1,19.329,15.223,23.435,0.386,0.269,0.503
"59",3,"interpolated",1,19.329,15.223,23.435,0.386,0.269,0.503
"60",3,"interpolated",1,19.329,15.223,23.435,0.386,0.269,0.503
"61",4,"interpolated",1,23.438,18.397,28.479,0.446,0.323,0.568
"62",4,"interpolated",1,23.438,18.397,28.479,0.446,0.323,0.568
"63",4,"interpolated",1,23.438,18.397,28.479,0.446,0.323,0.568
"64",4,"interpolated",1,23.438,18.397,28.479,0.446,0.323,0.568
"65",4,"interpolated",1,23.438,18.397,28.479,0.446,0.323,0.568
"66",4,"interpolated",1,23.438,18.397,28.479,0.446,0.323,0.568
"67",5,"interpolated",1,26.931,21.035,32.827,0.491,0.363,0.619
"68",5,"interpolated",1,26.931,21.035,32.827,0.491,0.363,0.619
"69",5,"interpolated",1,26.931,21.035,32.827,0.491,0.363,0.619
"70",5,"interpolated",1,26.931,21.035,32.827,0.491,0.363,0.619
"71",5,"interpolated",1,26.931,21.035,32.827,0.491,0.363,0.619
"72",5,"interpolated",1,26.931,21.035,32.827,0.491,0.363,0.619
"73",5,"interpolated",1,26.931,21.035,32.827,0.491,0.363,0.619
"74",6,"interpolated",1,29.96,23.276,36.643,0.526,0.39,0.663
"75",6,"interpolated",1,29.96,23.276,36.643,0.526,0.39,0.663
"76",6,"interpolated",1,29.96,23.276,36.643,0.526,0.39,0.663
"77",6,"interpolated",1,29.96,23.276,36.643,0.526,0.39,0.663
"78",6,"interpolated",1,29.96,23.276,36.643,0.526,0.39,0.663
"79",6,"interpolated",1,29.96,23.276,36.643,0.526,0.39,0.663
"80",7,"observed",1,32.629,25.215,40.043,0.559,0.414,0.704
"81",1,"interpolated",2,8.143,6.282,10.004,0.181,0.086,0.277
"82",1,"interpolated",2,8.143,6.282,10.004,0.181,0.086,0.277
"83",1,"interpolated",2,8.143,6.282,10.004,0.181,0.086,0.277
"84",1,"interpolated",2,8.143,6.282,10.004,0.181,0.086,0.277
"85",1,"interpolated",2,8.143,6.282,10.004,0.181,0.086,0.277
"86",1,"interpolated",2,8.143,6.282,10.004,0.181,0.086,0.277
"87",1,"interpolated",2,8.143,6.282,10.004,0.181,0.086,0.277
"88",2,"interpolated",2,13.786,10.834,16.739,0.303,0.19,0.416
"89",2,"interpolated",2,13.786,10.834,16.739,0.303,0.19,0.416
"90",2,"interpolated",2,13.786,10.834,16.739,0.303,0.19,0.416
"91",2,"interpolated",2,13.786,10.834,16.739,0.303,0.19,0.416
"92",2,"interpolated",2,13.786,10.834,16.739,0.303,0.19,0.416
"93",2,"interpolated",2,13.786,10.834,16.739,0.303,0.19,0.416
"94",3,"interpolated",2,17.928,14.013,21.844,0.386,0.267,0.505
"95",3,"interpolated",2,17.928,14.013,21.844,0.386,0.267,0.505
"96",3,"interpolated",2,17.928,14.013,21.844,0.386,0.267,0.505
