"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,27.4,24.062,30.738,0.391,0.327,0.454
"2",1,"interpolated",0,27.4,24.062,30.738,0.391,0.327,0.454
"3",1,"interpolated",0,27.4,24.062,30.738,0.391,0.327,0.454
"4",1,"interpolated",0,27.4,24.062,30.738,0.391,0.327,0.454
"5",1,"interpolated",0,27.4,24.062,30.738,0.391,0.327,0.454
"6",1,"interpolated",0,27.4,24.062,30.738,0.391,0.327,0.454
"7",2,"interpolated",0,44.1,39.178,49.022,0.562,0.497,0.627
"8",2,"interpolated",0,44.1,39.178,49.022,0.562,0.497,0.627
"9",2,"interpolated",0,44.1,39.178,49.022,0.562,0.497,0.627
"10",2,"interpolated",0,44.1,39.178,49.022,0.562,0.497,0.627
"11",2,"interpolated",0,44.1,39.178,49.022,0.562,0.497,0.627
"12",2,"interpolated",0,44.1,39.178,49.022,0.562,0.497,0.627
"13",3,"interpolated",0,56.1,49.96,62.24,0.661,0.597,0.725
"14",3,"interpolated",0,56.1,49.96,62.24,0.661,0.597,0.725
"15",3,"interpolated",0,56.1,49.96,62.24,0.661,0.597,0.725
"16",3,"interpolated",0,56.1,49.96,62.24,0.661,0.597,0.725
"17",3,"interpolated",0,56.1,49.96,62.24,0.661,0.597,0.725
"18",3,"interpolated",0,56.1,49.96,62.24,0.661,0.597,0.725
"19",4,"interpolated",0,65.4,58.178,72.622,0.723,0.656,0.79
"20",5,"observed",0,73,64.698,81.302,0.773,0.704,0.843
"21",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"22",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"23",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"24",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"25",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"26",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"27",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"28",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"29",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"30",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"31",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"32",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"33",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"34",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"35",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"36",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"37",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"38",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"39",6,"extrapolated",0,79.211,69.753,88.669,0.815,0.745,0.885
"40",7,"extrapolated",0,84.286,73.592,94.981,0.849,0.781,0.917
"41",1,"interpolated",1,27.4,24.062,30.738,0.391,0.327,0.454
"42",1,"interpolated",1,27.4,24.062,30.738,0.391,0.327,0.454
"43",1,"interpolated",1,27.4,24.062,30.738,0.391,0.327,0.454
"44",1,"interpolated",1,27.4,24.062,30.738,0.391,0.327,0.454
"45",1,"interpolated",1,27.4,24.062,30.738,0.391,0.327,0.454
"46",1,"interpolated",1,27.4,24.062,30.738,0.391,0.327,0.454
"47",2,"interpolated",1,41.805,37.161,46.449,0.562,0.497,0.627
"48",2,"interpolated",1,41.805,37.161,46.449,0.562,0.497,0.627
"49",2,"interpolated",1,41.805,37.161,46.449,0.562,0.497,0.627
"50",2,"interpolated",1,41.805,37.161,46.449,0.562,0.497,0.627
"51",2,"interpolated",1,41.805,37.161,46.449,0.562,0.497,0.627
"52",2,"interpolated",1,41.805,37.161,46.449,0.562,0.497,0.627
"53",3,"interpolated",1,50.947,45.335,56.559,0.661,0.595,0.726
"54",3,"interpolated",1,50.947,45.335,56.559,0.661,0.595,0.726
"55",3,"interpolated",1,50.947,45.335,56.559,0.661,0.595,0.726
"56",3,"interpolated",1,50.947,45.335,56.559,0.661,0.595,0.726
"57",3,"interpolated",1,50.947,45.335,56.559,0.661,0.595,0.726
"58",3,"interpolated",1,50.947,45.335,56.559,0.661,0.595,0.726
"59",4,"interpolated",1,57.339,50.959,63.719,0.723,0.654,0.791
"60",5,"observed",1,62.103,55.094,69.112,0.773,0.702,0.844
"61",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"62",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"63",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"64",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"65",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"66",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"67",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"68",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"69",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"70",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"71",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"72",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"73",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"74",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"75",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"76",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"77",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"78",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"79",6,"extrapolated",1,65.654,58.128,73.179,0.815,0.743,0.886
"80",7,"extrapolated",1,68.722,60.712,76.733,0.849,0.78,0.918
"81",1,"interpolated",2,27.4,24.059,30.741,0.391,0.327,0.455
"82",1,"interpolated",2,27.4,24.059,30.741,0.391,0.327,0.455
"83",1,"interpolated",2,27.4,24.059,30.741,0.391,0.327,0.455
"84",1,"interpolated",2,27.4,24.059,30.741,0.391,0.327,0.455
"85",1,"interpolated",2,27.4,24.059,30.741,0.391,0.327,0.455
"86",1,"interpolated",2,27.4,24.059,30.741,0.391,0.327,0.455
"87",2,"interpolated",2,39.41,35.002,43.818,0.562,0.497,0.627
"88",2,"interpolated",2,39.41,35.002,43.818,0.562,0.497,0.627
"89",2,"interpolated",2,39.41,35.002,43.818,0.562,0.497,0.627
"90",2,"interpolated",2,39.41,35.002,43.818,0.562,0.497,0.627
"91",2,"interpolated",2,39.41,35.002,43.818,0.562,0.497,0.627
"92",2,"interpolated",2,39.41,35.002,43.818,0.562,0.497,0.627
"93",3,"interpolated",2,46.153,40.961,51.346,0.661,0.596,0.725
"94",3,"interpolated",2,46.153,40.961,51.346,0.661,0.596,0.725
"95",3,"interpolated",2,46.153,40.961,51.346,0.661,0.596,0.725
"96",3,"interpolated",2,46.153,40.961,51.346,0.661,0.596,0.725
"97",3,"interpolated",2,46.153,40.961,51.346,0.661,0.596,0.725
"98",3,"interpolated",2,46.153,40.961,51.346,0.661,0.596,0.725
"99",4,"interpolated",2,50.471,44.692,56.251,0.723,0.655,0.79
"100",5,"observed",2,53.473,47.246,59.699,0.773,0.703,0.844
"101",6,"extrapolated",2,55.681,49.106,62.255,0.815,0.744,0.886
"102",6,"extrapolated",2,55.681,49.106,62.255,0.815,0.744,0.886
"103",6,"extrapolated",2,55.681,49.106,62.255,0.815,0.744,0.886
"104",6,"extrapolated",2,55.681,49.106,62.255,0.815,0.744,0.886
"105",6,"extrapolated",2,55.681,49.106,62.255,0.815,0.744,0.886
"106",6,"extrapolated",2,55.681,49.106,62.255,0.815,0.744,0.886
