"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","A","Species richness",28,36.679,7.809,29.918,67.265
"2","A","Shannon diversity",22.788,26.531,2.293,22.788,31.025
"3","A","Simpson diversity",20.051,21.944,1.558,20.051,24.998
"4","B","Species richness",38,56.9,11.075,44.516,92.819
"5","B","Shannon diversity",31.83,47.813,4.978,38.055,57.57
"6","B","Simpson diversity",26.598,36.704,4.011,28.842,44.566
"7","C","Species richness",28,46.286,12.554,33.409,89.813
"8","C","Shannon diversity",21.909,32.296,4.665,23.153,41.438
"9","C","Simpson diversity",17.562,21.518,2.752,17.562,26.911
"10","D","Species richness",45,61,10.797,49.816,98.155
"11","D","Shannon diversity",36.049,43.738,3.032,37.795,49.682
"12","D","Simpson diversity",30.871,35.037,2.231,30.871,39.411
"13","E","Species richness",50,104.857,28.411,71.101,192.614
"14","E","Shannon diversity",40.762,71.872,9.025,54.184,89.56
"15","E","Simpson diversity",32.766,44.679,5.267,34.355,55.002
"16","F","Species richness",30,45.673,10.592,34.711,82.145
"17","F","Shannon diversity",22.716,31.645,3.9,24,39.289
"18","F","Simpson diversity",17.531,20.403,2.194,17.531,24.703
"19","G","Species richness",34,43.333,6.626,36.668,66.645
"20","G","Shannon diversity",28.098,36.03,3.345,29.474,42.586
"21","G","Simpson diversity",23.953,29.393,2.543,24.409,34.377
"22","H","Species richness",49,72.048,13.366,57.022,115.214
"23","H","Shannon diversity",39.559,52.612,4.453,43.884,61.339
"24","H","Simpson diversity",32.985,39.578,2.9,33.895,45.261
"25","I","Species richness",41,64.805,13.38,49.525,107.476
"26","I","Shannon diversity",35.493,56.937,6.337,44.516,69.358
"27","I","Simpson diversity",30.926,48.72,6.407,36.163,61.276
"28","J","Species richness",30,55.92,17.595,37.756,116.626
"29","J","Shannon diversity",24.408,38.199,6.155,26.135,50.262
"30","J","Simpson diversity",20.103,24.84,3.034,20.103,30.787
"31","K","Species richness",41,82.143,24.605,54.92,162.608
"32","K","Shannon diversity",34.048,56.179,7.788,40.915,71.443
"33","K","Simpson diversity",28.594,38.918,4.299,30.493,47.344
"34","L","Species richness",31,50.837,12.786,37.248,93.984
"35","L","Shannon diversity",25.351,39.227,5.882,27.698,50.757
"36","L","Simpson diversity",20.694,27.503,3.547,20.694,34.454
"37","M","Species richness",28,38.714,7.354,31.17,64.209
"38","M","Shannon diversity",24.307,36.37,4.803,26.957,45.783
"39","M","Simpson diversity",20.945,31.332,4.022,23.449,39.215
"40","N","Species richness",29,67.533,29.713,39.102,175.988
"41","N","Shannon diversity",23.784,38.704,6.88,25.219,52.189
"42","N","Simpson diversity",20.18,24.754,3.151,20.18,30.93
"43","O","Species richness",46,66.833,11.245,53.733,102.126
"44","O","Shannon diversity",38.116,53.938,5.121,43.901,63.975
"45","O","Simpson diversity",31.937,40.104,3.247,33.739,46.469
