"","site","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","KZN1_Am",7,91,28,0.9139,9,4,2,4,4,3,2,0,0,0
"2","KZN2_Am",7,69,38,0.7373,21,10,2,4,0,1,0,0,0,0
"3","KZN4_Am",7,57,28,0.7505,16,6,0,3,1,2,0,0,0,0
"4","KZN5_Am",8,133,45,0.8931,16,7,6,6,3,3,4,0,0,0
"5","KZN6_Am",7,87,50,0.6605,32,8,6,1,1,2,0,0,0,0
"6","KZN7_Am",7,65,30,0.7852,16,7,3,0,0,2,2,0,0,0
"7","MP1_Am",7,78,34,0.8522,14,9,3,5,1,2,0,0,0,0
"8","MP2_Am",7,114,49,0.8302,22,9,8,5,2,1,2,0,0,0
"9","MP3_Am",10,71,41,0.7046,23,10,4,4,0,0,0,0,0,0
"10","MP4_Am",5,56,30,0.7178,18,5,3,1,3,0,0,0,0,0
"11","MP5_Am",7,76,41,0.7085,24,6,6,4,0,1,0,0,0,0
"12","MP6_Am",7,57,31,0.7204,18,7,2,2,1,1,0,0,0,0
"13","MP7_Am",7,48,28,0.7396,15,9,2,1,1,0,0,0,0,0
"14","KZN2_Vs",5,57,29,0.7259,17,3,3,5,1,0,0,0,0,0
"15","MP4_Vs",5,87,46,0.7683,25,12,1,5,3,0,0,0,0,0
