"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,11.4,9.31,13.49,0.456,0.342,0.57
"2",1,"interpolated",0,11.4,9.31,13.49,0.456,0.342,0.57
"3",1,"interpolated",0,11.4,9.31,13.49,0.456,0.342,0.57
"4",1,"interpolated",0,11.4,9.31,13.49,0.456,0.342,0.57
"5",1,"interpolated",0,11.4,9.31,13.49,0.456,0.342,0.57
"6",1,"interpolated",0,11.4,9.31,13.49,0.456,0.342,0.57
"7",2,"interpolated",0,17.6,14.278,20.922,0.623,0.519,0.726
"8",2,"interpolated",0,17.6,14.278,20.922,0.623,0.519,0.726
"9",2,"interpolated",0,17.6,14.278,20.922,0.623,0.519,0.726
"10",2,"interpolated",0,17.6,14.278,20.922,0.623,0.519,0.726
"11",2,"interpolated",0,17.6,14.278,20.922,0.623,0.519,0.726
"12",2,"interpolated",0,17.6,14.278,20.922,0.623,0.519,0.726
"13",3,"interpolated",0,21.9,17.374,26.426,0.675,0.575,0.776
"14",3,"interpolated",0,21.9,17.374,26.426,0.675,0.575,0.776
"15",3,"interpolated",0,21.9,17.374,26.426,0.675,0.575,0.776
"16",3,"interpolated",0,21.9,17.374,26.426,0.675,0.575,0.776
"17",3,"interpolated",0,21.9,17.374,26.426,0.675,0.575,0.776
"18",3,"interpolated",0,21.9,17.374,26.426,0.675,0.575,0.776
"19",4,"interpolated",0,25.6,19.941,31.259,0.702,0.597,0.806
"20",5,"observed",0,29,22.245,35.755,0.726,0.614,0.838
"21",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"22",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"23",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"24",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"25",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"26",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"27",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"28",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"29",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"30",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"31",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"32",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"33",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"34",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"35",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"36",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"37",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"38",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"39",6,"extrapolated",0,32.124,24.274,39.975,0.748,0.63,0.866
"40",7,"extrapolated",0,34.995,26.028,43.962,0.769,0.646,0.891
"41",1,"interpolated",1,11.4,9.322,13.478,0.456,0.345,0.567
"42",1,"interpolated",1,11.4,9.322,13.478,0.456,0.345,0.567
"43",1,"interpolated",1,11.4,9.322,13.478,0.456,0.345,0.567
