"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,9.286,7.719,10.853,0.451,0.375,0.527
"2",1,"interpolated",0,9.286,7.719,10.853,0.451,0.375,0.527
"3",1,"interpolated",0,9.286,7.719,10.853,0.451,0.375,0.527
"4",1,"interpolated",0,9.286,7.719,10.853,0.451,0.375,0.527
"5",1,"interpolated",0,9.286,7.719,10.853,0.451,0.375,0.527
"6",1,"interpolated",0,9.286,7.719,10.853,0.451,0.375,0.527
"7",1,"interpolated",0,9.286,7.719,10.853,0.451,0.375,0.527
"8",2,"interpolated",0,14.381,11.86,16.902,0.555,0.479,0.631
"9",2,"interpolated",0,14.381,11.86,16.902,0.555,0.479,0.631
"10",2,"interpolated",0,14.381,11.86,16.902,0.555,0.479,0.631
"11",2,"interpolated",0,14.381,11.86,16.902,0.555,0.479,0.631
"12",2,"interpolated",0,14.381,11.86,16.902,0.555,0.479,0.631
"13",2,"interpolated",0,14.381,11.86,16.902,0.555,0.479,0.631
"14",3,"interpolated",0,18.514,15.242,21.787,0.618,0.538,0.699
"15",3,"interpolated",0,18.514,15.242,21.787,0.618,0.538,0.699
"16",3,"interpolated",0,18.514,15.242,21.787,0.618,0.538,0.699
"17",3,"interpolated",0,18.514,15.242,21.787,0.618,0.538,0.699
"18",3,"interpolated",0,18.514,15.242,21.787,0.618,0.538,0.699
"19",3,"interpolated",0,18.514,15.242,21.787,0.618,0.538,0.699
"20",3,"interpolated",0,18.514,15.242,21.787,0.618,0.538,0.699
"21",4,"interpolated",0,22.057,18.158,25.956,0.673,0.589,0.757
"22",4,"interpolated",0,22.057,18.158,25.956,0.673,0.589,0.757
"23",4,"interpolated",0,22.057,18.158,25.956,0.673,0.589,0.757
"24",4,"interpolated",0,22.057,18.158,25.956,0.673,0.589,0.757
"25",4,"interpolated",0,22.057,18.158,25.956,0.673,0.589,0.757
"26",4,"interpolated",0,22.057,18.158,25.956,0.673,0.589,0.757
