"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,17.4,14.81,19.99,0.431,0.357,0.505
"2",1,"interpolated",0,17.4,14.81,19.99,0.431,0.357,0.505
"3",1,"interpolated",0,17.4,14.81,19.99,0.431,0.357,0.505
"4",1,"interpolated",0,17.4,14.81,19.99,0.431,0.357,0.505
"5",1,"interpolated",0,17.4,14.81,19.99,0.431,0.357,0.505
"6",1,"interpolated",0,17.4,14.81,19.99,0.431,0.357,0.505
"7",2,"interpolated",0,27.3,23.387,31.213,0.569,0.494,0.644
"8",2,"interpolated",0,27.3,23.387,31.213,0.569,0.494,0.644
"9",2,"interpolated",0,27.3,23.387,31.213,0.569,0.494,0.644
"10",2,"interpolated",0,27.3,23.387,31.213,0.569,0.494,0.644
"11",2,"interpolated",0,27.3,23.387,31.213,0.569,0.494,0.644
"12",2,"interpolated",0,27.3,23.387,31.213,0.569,0.494,0.644
"13",3,"interpolated",0,34.8,29.861,39.739,0.644,0.565,0.722
"14",3,"interpolated",0,34.8,29.861,39.739,0.644,0.565,0.722
"15",3,"interpolated",0,34.8,29.861,39.739,0.644,0.565,0.722
"16",3,"interpolated",0,34.8,29.861,39.739,0.644,0.565,0.722
"17",3,"interpolated",0,34.8,29.861,39.739,0.644,0.565,0.722
"18",3,"interpolated",0,34.8,29.861,39.739,0.644,0.565,0.722
"19",4,"interpolated",0,41,35.178,46.822,0.713,0.628,0.798
"20",5,"observed",0,46,39.318,52.682,0.768,0.678,0.858
"21",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"22",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"23",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"24",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"25",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"26",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"27",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"28",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"29",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"30",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"31",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"32",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"33",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"34",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"35",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"36",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"37",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"38",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"39",6,"extrapolated",0,50.032,42.432,57.633,0.813,0.722,0.905
"40",7,"extrapolated",0,53.284,44.69,61.878,0.849,0.759,0.939
"41",1,"interpolated",1,17.4,14.831,19.969,0.431,0.358,0.504
"42",1,"interpolated",1,17.4,14.831,19.969,0.431,0.358,0.504
"43",1,"interpolated",1,17.4,14.831,19.969,0.431,0.358,0.504
"44",1,"interpolated",1,17.4,14.831,19.969,0.431,0.358,0.504
"45",1,"interpolated",1,17.4,14.831,19.969,0.431,0.358,0.504
"46",1,"interpolated",1,17.4,14.831,19.969,0.431,0.358,0.504
"47",2,"interpolated",1,25.812,22.124,29.5,0.569,0.495,0.643
"48",2,"interpolated",1,25.812,22.124,29.5,0.569,0.495,0.643
"49",2,"interpolated",1,25.812,22.124,29.5,0.569,0.495,0.643
"50",2,"interpolated",1,25.812,22.124,29.5,0.569,0.495,0.643
"51",2,"interpolated",1,25.812,22.124,29.5,0.569,0.495,0.643
"52",2,"interpolated",1,25.812,22.124,29.5,0.569,0.495,0.643
"53",3,"interpolated",1,31.245,26.759,35.731,0.644,0.565,0.722
"54",3,"interpolated",1,31.245,26.759,35.731,0.644,0.565,0.722
"55",3,"interpolated",1,31.245,26.759,35.731,0.644,0.565,0.722
"56",3,"interpolated",1,31.245,26.759,35.731,0.644,0.565,0.722
"57",3,"interpolated",1,31.245,26.759,35.731,0.644,0.565,0.722
"58",3,"interpolated",1,31.245,26.759,35.731,0.644,0.565,0.722
"59",4,"interpolated",1,35.176,30.084,40.268,0.713,0.627,0.798
"60",5,"observed",1,38.116,32.539,43.693,0.768,0.677,0.86
"61",6,"extrapolated",1,40.315,34.344,46.287,0.813,0.72,0.906
"62",6,"extrapolated",1,40.315,34.344,46.287,0.813,0.72,0.906
