"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,8.143,6.416,9.87,0.292,0.192,0.393
"2",1,"interpolated",0,8.143,6.416,9.87,0.292,0.192,0.393
"3",1,"interpolated",0,8.143,6.416,9.87,0.292,0.192,0.393
"4",1,"interpolated",0,8.143,6.416,9.87,0.292,0.192,0.393
"5",1,"interpolated",0,8.143,6.416,9.87,0.292,0.192,0.393
"6",1,"interpolated",0,8.143,6.416,9.87,0.292,0.192,0.393
"7",1,"interpolated",0,8.143,6.416,9.87,0.292,0.192,0.393
"8",2,"interpolated",0,13.905,11.178,16.632,0.444,0.341,0.547
"9",2,"interpolated",0,13.905,11.178,16.632,0.444,0.341,0.547
"10",2,"interpolated",0,13.905,11.178,16.632,0.444,0.341,0.547
"11",2,"interpolated",0,13.905,11.178,16.632,0.444,0.341,0.547
"12",2,"interpolated",0,13.905,11.178,16.632,0.444,0.341,0.547
"13",2,"interpolated",0,13.905,11.178,16.632,0.444,0.341,0.547
"14",3,"interpolated",0,18.429,14.902,21.955,0.533,0.43,0.637
"15",3,"interpolated",0,18.429,14.902,21.955,0.533,0.43,0.637
"16",3,"interpolated",0,18.429,14.902,21.955,0.533,0.43,0.637
"17",3,"interpolated",0,18.429,14.902,21.955,0.533,0.43,0.637
"18",3,"interpolated",0,18.429,14.902,21.955,0.533,0.43,0.637
"19",3,"interpolated",0,18.429,14.902,21.955,0.533,0.43,0.637
"20",3,"interpolated",0,18.429,14.902,21.955,0.533,0.43,0.637
"21",4,"interpolated",0,22.229,18.026,26.431,0.595,0.49,0.7
"22",4,"interpolated",0,22.229,18.026,26.431,0.595,0.49,0.7
"23",4,"interpolated",0,22.229,18.026,26.431,0.595,0.49,0.7
"24",4,"interpolated",0,22.229,18.026,26.431,0.595,0.49,0.7
"25",4,"interpolated",0,22.229,18.026,26.431,0.595,0.49,0.7
"26",4,"interpolated",0,22.229,18.026,26.431,0.595,0.49,0.7
"27",5,"interpolated",0,25.524,20.722,30.326,0.643,0.535,0.752
"28",5,"interpolated",0,25.524,20.722,30.326,0.643,0.535,0.752
"29",5,"interpolated",0,25.524,20.722,30.326,0.643,0.535,0.752
"30",5,"interpolated",0,25.524,20.722,30.326,0.643,0.535,0.752
"31",5,"interpolated",0,25.524,20.722,30.326,0.643,0.535,0.752
"32",5,"interpolated",0,25.524,20.722,30.326,0.643,0.535,0.752
"33",5,"interpolated",0,25.524,20.722,30.326,0.643,0.535,0.752
"34",6,"interpolated",0,28.429,23.066,33.791,0.684,0.57,0.799
"35",6,"interpolated",0,28.429,23.066,33.791,0.684,0.57,0.799
"36",6,"interpolated",0,28.429,23.066,33.791,0.684,0.57,0.799
"37",6,"interpolated",0,28.429,23.066,33.791,0.684,0.57,0.799
"38",6,"interpolated",0,28.429,23.066,33.791,0.684,0.57,0.799
"39",6,"interpolated",0,28.429,23.066,33.791,0.684,0.57,0.799
"40",7,"observed",0,31,25.083,36.917,0.72,0.6,0.84
"41",1,"interpolated",1,8.143,6.44,9.846,0.292,0.189,0.396
"42",1,"interpolated",1,8.143,6.44,9.846,0.292,0.189,0.396
"43",1,"interpolated",1,8.143,6.44,9.846,0.292,0.189,0.396
"44",1,"interpolated",1,8.143,6.44,9.846,0.292,0.189,0.396
"45",1,"interpolated",1,8.143,6.44,9.846,0.292,0.189,0.396
"46",1,"interpolated",1,8.143,6.44,9.846,0.292,0.189,0.396
"47",1,"interpolated",1,8.143,6.44,9.846,0.292,0.189,0.396
"48",2,"interpolated",1,13.298,10.72,15.876,0.444,0.338,0.551
"49",2,"interpolated",1,13.298,10.72,15.876,0.444,0.338,0.551
"50",2,"interpolated",1,13.298,10.72,15.876,0.444,0.338,0.551
"51",2,"interpolated",1,13.298,10.72,15.876,0.444,0.338,0.551
"52",2,"interpolated",1,13.298,10.72,15.876,0.444,0.338,0.551
"53",2,"interpolated",1,13.298,10.72,15.876,0.444,0.338,0.551
"54",3,"interpolated",1,16.959,13.677,20.24,0.533,0.428,0.639
"55",3,"interpolated",1,16.959,13.677,20.24,0.533,0.428,0.639
"56",3,"interpolated",1,16.959,13.677,20.24,0.533,0.428,0.639
"57",3,"interpolated",1,16.959,13.677,20.24,0.533,0.428,0.639
"58",3,"interpolated",1,16.959,13.677,20.24,0.533,0.428,0.639
"59",3,"interpolated",1,16.959,13.677,20.24,0.533,0.428,0.639
"60",3,"interpolated",1,16.959,13.677,20.24,0.533,0.428,0.639
"61",4,"interpolated",1,19.755,15.885,23.626,0.595,0.488,0.702
"62",4,"interpolated",1,19.755,15.885,23.626,0.595,0.488,0.702
"63",4,"interpolated",1,19.755,15.885,23.626,0.595,0.488,0.702
"64",4,"interpolated",1,19.755,15.885,23.626,0.595,0.488,0.702
"65",4,"interpolated",1,19.755,15.885,23.626,0.595,0.488,0.702
"66",4,"interpolated",1,19.755,15.885,23.626,0.595,0.488,0.702
"67",5,"interpolated",1,21.987,17.618,26.356,0.643,0.533,0.754
