"","Curculionidae","Attelabidae","Anthribidae","Chrysomelidae","Buprestidae","Cerambycidae","Cleridae","Bostrichidae","Elateridae","Scarabaeidae","Melyridae","Nitidulidae","Salpingidae","Lathridiidae","Silvanidae","Mordellidae","Carabidae","Zopheridae","Anthicidae","Scydmaenidae","Corylophidae","Laemophloeidae","Phalacridae","Ptiliidae","Coccinellidae","Tenebrionidae","Lycidae","Cantharidae","Biphyllidae","Endomychidae","Mycetophagidae","Cryptophagidae","Meloidae","Scraptidae","Scirtidae","Ptinidae","Ciidae","Birrhidae","Formicidae","Alydidae","Anthocoridae","Aphrophoridae","Aradidae","Cixiidae","Cercopidae","Cicadellidae","Tettigometridae","Coreidae","Delphacidae","Derbidae","Dictyopharidae","Flatidae","Lygaeidae","Membracidae","Miridae","Piesmatidae","Psillidae","Pentatomidae","Reduviidae","Tingidae"
"KZN1",82,18,0,48,0,0,0,0,0,0,0,1,0,13,0,0,0,0,5,0,2,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1721,0,0,0,0,0,0,324,0,1,1,0,0,0,10,8,164,0,9,4,3,1
"KZN2",4,29,0,90,2,0,0,0,0,0,0,1,1,6,1,3,3,0,4,1,0,2,6,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,513,8,0,0,0,0,0,283,0,0,0,0,0,0,1,17,29,0,0,1,1,1
"KZN3",8,73,76,32,8,9,0,2,0,0,5,1,6,8,0,74,7,0,0,0,1,1,2,11,2,3,0,0,0,0,0,0,0,1,0,0,0,0,118,0,9,0,1,0,3,205,0,0,2,1,0,0,6,1,4,0,73,0,0,19
"KZN4",2,113,0,209,2,5,0,0,0,2,1,0,0,7,2,40,3,0,0,0,5,0,20,0,14,4,0,1,0,3,0,0,0,0,0,1,1,0,1880,1,1,0,0,0,0,232,0,0,1,0,0,0,2,42,6,0,2,10,4,2
"KZN5",46,244,0,130,5,2,0,0,0,1,0,1,0,15,2,3,0,0,7,0,2,0,16,1,69,4,0,0,0,2,0,3,0,0,1,0,0,0,873,1,1,10,0,0,0,427,0,0,2,0,0,0,7,125,58,0,2,4,6,1
"KZN6",4,118,3,171,3,2,0,1,0,0,16,0,4,0,0,45,2,7,0,1,0,1,13,3,19,5,0,0,0,0,0,0,0,0,0,0,1,0,605,0,1,7,0,0,1,367,1,0,2,1,0,0,2,20,22,0,4,0,0,1
"KZN7",18,140,0,81,1,0,0,0,0,0,0,0,1,7,0,0,0,1,3,0,0,2,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,8,2,0,0,0,0,122,0,0,1,5,0,2,5,30,11,0,5,2,0,1
"MP1",15,23,0,152,2,0,0,0,1,2,30,0,0,1,0,1,0,0,0,0,2,1,17,1,89,2,0,1,0,0,0,1,0,3,0,0,0,0,449,2,4,0,0,0,0,205,0,1,0,0,0,0,7,21,45,0,25,4,1,2
"MP2",163,100,1,146,2,0,0,2,0,3,28,2,0,7,0,7,5,0,2,0,2,9,13,0,29,0,0,6,0,0,0,8,0,2,0,0,0,0,126,2,8,0,0,0,0,137,0,0,0,0,0,0,2,14,20,0,9,7,3,27
"MP3",137,45,3,93,3,2,2,0,2,1,4,1,0,5,0,35,2,1,0,0,2,1,2,1,14,0,0,1,0,0,0,0,0,3,0,0,0,0,56,0,21,0,0,0,3,140,0,0,0,0,0,0,0,5,8,0,139,0,0,0
"MP4",6,28,0,137,3,0,0,0,0,9,28,1,0,1,0,18,7,0,0,0,2,10,13,0,14,0,1,0,0,0,0,0,0,1,1,0,0,0,192,1,11,3,0,1,1,268,0,0,0,0,0,0,2,12,20,0,18,2,0,6
"MP5",44,39,0,214,0,0,0,2,2,1,14,1,0,2,0,15,1,0,0,0,0,125,10,0,20,0,0,0,0,0,0,4,1,2,0,0,0,0,172,4,2,2,0,0,2,155,0,1,0,0,0,0,2,10,16,0,12,3,3,1
"MP6",7,12,0,344,0,0,0,0,0,0,42,0,0,1,0,34,2,0,1,0,0,1,73,0,37,0,0,0,0,0,0,0,0,9,0,0,0,3,100,1,5,0,0,0,2,113,0,0,0,0,0,0,2,14,12,0,18,0,2,0
"MP7",7,10,0,89,1,0,0,0,0,4,49,0,0,3,0,2,0,6,0,0,1,5,0,0,13,1,0,0,0,0,0,1,0,7,0,0,0,0,2,0,3,0,0,0,0,67,0,0,0,0,0,0,1,2,6,1,23,0,0,1
