"","Family","MorphousSp","MorphousSpKZN","MorphousSpMP","Commonness","Abundance","KZN1","KZN2","KZN3","KZN4","KZN5","KZN6","KZN7","MP1","MP2","MP3","MP4","MP5","MP6","MP7"
"Curculionidae_Entiminae_Polydrusini_Gen_nov_spp","Curculionidae",1,0,1,1,127,0,0,0,0,0,0,0,0,0,127,0,0,0,0
"Curculionidae_Entiminae_Oosomini_Ellimenistes_spp","Curculionidae",1,1,0,1,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculionidae_Entiminae_Tanyrhynchini","Curculionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculionidae_Entiminae_Tanymecini_Piazomiina_Iphisomus_igamus","Curculionidae",1,0,1,6,49,0,0,0,0,0,0,0,3,10,0,1,31,1,3
"Curculionidae_Entiminae_Embrithini_sp1","Curculionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculionidae_Entiminae_Embrithini_sp2","Curculionidae",1,1,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"Curculionidae_Entiminae_Embrithini_sp1_close_to_Lalagetes","Curculionidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Curculionidae_Entiminae_sp2","Curculionidae",1,1,0,2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"Curculionidae_Ramphini_Ramphus_spp","Curculionidae",1,1,1,3,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0
"Curculionidae_Derelomini_Derelomus_spp","Curculionidae",1,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Curculionidae_Smicroenychini_sp","Curculionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculionidae_Baridinae_sp1","Curculionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculionidae_Baridinae_sp2","Curculionidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Curculionidae_Conoderinae_Lobotrachelini_sp1","Curculionidae",1,1,1,8,185,0,0,0,1,37,1,2,1,135,0,0,3,5,0
"Curculionidae_Conoderinae_Sphadasmus_sp","Curculionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculionidae_Conoderinae_sp1","Curculionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculionidae_Ceutorhynchinae_Micrelus_sp","Curculionidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
