"","KZN_AM","MP_AM","KZN_VS","MP_VS","KZN","MP","VS","AM","AMAdj","All","Order"
"Families",53,49,36,43,54,55,48,60,51,63,""
"Chrysomelidae",43,45,21,27,49,55,37,67,44,76,"Coleoptera"
"Curculionidae",22,23,10,13,28,28,21,33,17,43,"Coleoptera"
"Cicadellidae",20,23,11,15,21,25,17,28,22,30,"Hemiptera"
"Coccinellidae",13,9,6,7,14,11,8,16,8,18,"Coleoptera"
"Miridae",8,10,11,8,14,13,14,13,8,21,"Hemiptera"
"Melyridae",8,7,2,3,9,9,4,12,7,14,"Coleoptera"
"Pentatomidae",6,8,1,3,7,9,4,11,3,11,"Hemiptera"
"Scarabaeidae",2,8,0,2,2,10,2,10,4,12,"Coleoptera"
"Carabidae",5,6,4,2,6,7,6,9,7,11,"Coleoptera"
"Tenebrionidae",8,2,2,4,8,5,5,9,3,11,"Coleoptera"
"Myrmicinae",6,6,6,6,6,8,7,8,5,9,"Hymenoptera"
"Formicinae",5,6,3,6,6,8,8,7,5,9,"Hymenoptera"
"Lygaeidae",4,5,3,1,4,6,3,6,4,6,"Hemiptera"
"Mordellidae",4,6,2,2,4,6,2,6,6,6,"Coleoptera"
"Nitidulidae",3,3,4,3,5,5,5,6,4,8,"Coleoptera"
"Lathridiidae",3,4,1,1,3,4,1,5,2,5,"Coleoptera"
"Psillidae",3,5,3,3,3,5,3,5,3,5,"Hemiptera"
"Anthicidae",4,1,0,1,4,1,1,4,2,4,"Coleoptera"
"Anthocoridae",3,2,1,1,3,2,1,4,2,4,"Hemiptera"
"Buprestidae",1,4,2,4,2,6,5,4,4,7,"Coleoptera"
"Cerambycidae",4,2,5,4,7,5,8,4,2,9,"Coleoptera"
"Alydidae",3,3,0,1,3,3,1,3,2,3,"Hemiptera"
"Anthribidae",2,1,3,1,3,2,3,3,3,4,"Coleoptera"
"Corylophidae",3,3,3,4,4,5,5,3,2,5,"Coleoptera"
"Delphacidae",3,0,0,1,3,1,1,3,2,3,"Hemiptera"
"Elateridae",0,3,0,0,0,3,0,3,1,3,"Coleoptera"
"Endomychidae",3,0,0,0,3,0,0,3,0,3,"Coleoptera"
"Phalacridae",3,3,2,2,3,3,2,3,3,3,"Coleoptera"
"Reduviidae",2,3,0,0,2,3,0,3,1,3,"Hemiptera"
"Silvanidae",3,0,0,0,3,0,0,3,1,3,"Coleoptera"
"Tingidae",2,3,3,3,3,4,3,3,2,4,"Hemiptera"
"Zopheridae",2,2,1,1,2,3,2,3,1,3,"Coleoptera"
"Birrhidae",0,2,0,0,0,2,0,2,0,2,"Coleoptera"
"Bostrichidae",2,1,0,0,2,1,0,2,1,2,"Coleoptera"
"Cantharidae",1,2,0,2,1,2,2,2,1,2,"Coleoptera"
"Cercopidae",1,2,1,2,1,3,2,2,2,3,"Hemiptera"
"Coreidae",1,2,0,0,1,2,0,2,0,2,"Hemiptera"
"Dolichoderinae",2,2,1,2,2,2,2,2,1,2,"Hymenoptera"
"Pseudomyrmecinae",2,1,1,0,2,1,1,2,2,2,"Hymenoptera"
"Scydmaenidae",2,0,1,0,3,0,1,2,1,3,"Coleoptera"
"Aphrophoridae",1,1,0,0,1,1,0,1,1,1,"Hemiptera"
"Aradidae",1,0,0,0,1,0,0,1,1,1,"Hemiptera"
"Attelabidae",1,1,0,1,1,1,1,1,1,1,"Coleoptera"
"Ciidae",1,0,1,1,1,1,1,1,0,1,"Coleoptera"
"Cixiidae",0,1,0,0,0,1,0,1,1,1,"Hemiptera"
"Cleridae",0,1,0,1,0,1,1,1,1,1,"Coleoptera"
"Cryptophagidae",1,1,1,0,1,1,1,1,1,1,"Coleoptera"
"Derbidae",1,0,0,0,1,0,0,1,1,1,"Hemiptera"
"Flatidae",1,0,0,0,1,0,0,1,0,1,"Hemiptera"
"Laemophloeidae",1,1,1,1,1,1,1,1,1,1,"Coleoptera"
"Lycidae",0,1,1,1,1,1,2,1,1,2,"Coleoptera"
"Meloidae",0,1,0,0,0,1,0,1,0,1,"Coleoptera"
"Membracidae",1,1,0,1,1,1,1,1,1,1,"Hemiptera"
"Piesmatidae",0,1,0,0,0,1,0,1,0,1,"Hemiptera"
"Ptiliidae",1,1,1,0,1,1,1,1,1,1,"Coleoptera"
"Ptinidae",1,0,2,1,2,1,2,1,0,2,"Coleoptera"
"Salpingidae",1,0,2,0,2,0,2,1,1,2,"Coleoptera"
"Scirtidae",1,1,0,2,1,2,2,1,1,2,"Coleoptera"
"Scraptidae",1,1,1,1,1,1,1,1,1,1,"Coleoptera"
"Tettigometridae",1,0,0,0,1,0,0,1,0,1,"Hemiptera"
"Biphyllidae",0,0,0,1,0,1,1,0,0,1,"Coleoptera"
"Dictyopharidae",0,0,0,1,0,1,1,0,0,1,"Hemiptera"
"Mycetophagidae",0,0,0,1,0,1,1,0,0,1,"Coleoptera"
