site,landuse,area_ha,Prop
KZN1,Grassland,4.054287754,0.206210594
KZN1,Low shrubland,0.133063211,0.006767907
KZN1,Plantation / Woodlots young,0.27,0.013732834
KZN1,Plantations / Woodlots mature,9.42513388,0.479384437
KZN1,Thicket /Dense bush,1.167436035,0.059378538
KZN1,Urban township (bare),0.014400888,0.000732463
KZN1,Urban township (dense trees / bush),0.54,0.027465668
KZN1,Urban township (low veg / grass),3.787161048,0.192623902
KZN1,Woodlan/Open bush,0.269426365,0.013703657
KZN2,Cultivated comm fields (med),0.02319347,0.001179529
KZN2,Grassland,0.621811006,0.031622864
KZN2,Plantation / Woodlots clearfelled,2.431242966,0.123643462
KZN2,Plantation / Woodlots young,2.167093505,0.110209859
KZN2,Plantations / Woodlots mature,14.00710582,0.712346354
KZN2,Woodlan/Open bush,0.412889384,0.020997931
KZN3,Cultivated cane commercial - crop,2.159765586,0.109833775
KZN3,Cultivated cane commercial - fallow,1.350826846,0.068695609
KZN3,Grassland,4.36158498,0.221806175
KZN3,Thicket /Dense bush,6.021322541,0.306211281
KZN3,Wetlands,5.770447534,0.29345316
KZN4,Grassland,3.443994115,0.175205976
KZN4,Plantation / Woodlots young,1.549556484,0.078830436
KZN4,Plantations / Woodlots mature,13.16200866,0.669589581
KZN4,Thicket /Dense bush,1.187747975,0.060424187
KZN4,Wetlands,0.223522896,0.011371258
KZN4,Woodlan/Open bush,0.09,0.004578561
KZN5,Cultivated cane commercial - crop,0.612383742,0.031148499
KZN5,Cultivated comm fields (high),0.515033191,0.026196826
KZN5,Cultivated comm fields (low),0.09,0.004577791
KZN5,Cultivated comm fields (med),11.62096346,0.591092708
KZN5,Grassland,1.103141072,0.056110549
KZN5,Plantations / Woodlots mature,4.050839583,0.206043307
KZN5,Thicket /Dense bush,1.667775689,0.08483032
KZN6,Grassland,4.979069815,0.253250575
KZN6,Thicket /Dense bush,1.707316402,0.086839284
KZN6,Urban smallholding (low veg / grass),0.000111172,5.65E-06
KZN6,Urban village (dense trees / bush),1.180739853,0.060056006
KZN6,Urban village (low veg / grass),11.43336093,0.581535374
KZN6,Urban village (open trees / bush),0.36,0.018310691
KZN6,Woodlan/Open bush,4.75E-05,2.42E-06
KZN7,Grassland,0.18,0.009155235
KZN7,Plantation / Woodlots clearfelled,2.032314167,0.103368411
KZN7,Plantation / Woodlots young,1.252782138,0.063719527
KZN7,Plantations / Woodlots mature,15.73082424,0.800107741
KZN7,Wetlands,0.374961896,0.019071468
KZN7,Woodlan/Open bush,0.09,0.004577618
MP1,Grassland,0.696334692,0.035373516
MP1,Plantation / Woodlots young,1.855302425,0.094248599
MP1,Plantations / Woodlots mature,16.92914354,0.85999352
MP1,Woodlan/Open bush,0.204418304,0.010384366
MP2,Cultivated comm fields (low),0.449547447,0.022838356
MP2,Cultivated comm fields (med),6.91084635,0.351091686
MP2,Grassland,0.983266738,0.049952894
MP2,Plantations / Woodlots mature,10.77348448,0.547325269
MP2,Woodlan/Open bush,0.566734202,0.028791794
MP3,Grassland,0.599317375,0.030438859
MP3,Thicket /Dense bush,17.55682722,0.891697484
MP3,Woodlan/Open bush,1.533074608,0.077863657
MP4,Grassland,1.476761939,0.07499997
MP4,Plantation / Woodlots young,1.799459294,0.091388727
MP4,Plantations / Woodlots mature,9.444348939,0.479647984
MP4,Thicket /Dense bush,4.877910957,0.247733345
MP4,Woodlan/Open bush,2.091685932,0.106229974
MP5,Plantation / Woodlots clearfelled,0.023628103,0.001199967
MP5,Plantation / Woodlots young,0.36,0.018282808
MP5,Plantations / Woodlots mature,18.94094238,0.961926707
MP5,Woodlan/Open bush,0.366059009,0.018590518
MP6,Grassland,0.722867629,0.036732928
MP6,Plantation / Woodlots clearfelled,0.878898587,0.04466173
MP6,Plantation / Woodlots young,1.227391277,0.062370584
MP6,Plantations / Woodlots mature,16.48985154,0.837941154
MP6,Woodlan/Open bush,0.36,0.018293604
MP7,Grassland,3.494289271,0.177535285
MP7,Plantation / Woodlots clearfelled,8.542178419,0.434004733
MP7,Plantation / Woodlots young,0.255386721,0.012975501
MP7,Plantations / Woodlots mature,6.317093783,0.320954265
MP7,Woodlan/Open bush,1.073275928,0.054530216
