site,transformed_land,area_ha,Prop
KZN1,Transformed,14.03669582,0.713939304
KZN1,Natural,5.624213365,0.286060696
KZN2,Transformed,18.62863576,0.947379205
KZN2,Natural,1.03470039,0.052620795
KZN3,Transformed,3.510592432,0.178529384
KZN3,Natural,16.15335506,0.821470616
KZN4,Transformed,14.71156514,0.748420017
KZN4,Natural,4.945264987,0.251579983
KZN5,Transformed,16.88921998,0.859059131
KZN5,Natural,2.770916761,0.140940869
KZN6,Transformed,12.97421196,0.659907724
KZN6,Natural,6.686433747,0.340092276
KZN7,Transformed,19.01592055,0.967195679
KZN7,Natural,0.644961896,0.032804321
MP1,Transformed,18.78444596,0.954242119
MP1,Natural,0.900752996,0.045757881
MP2,Transformed,18.13387828,0.921255311
MP2,Natural,1.55000094,0.078744689
MP3,Transformed,0,0
MP3,Natural,19.6892192,1
MP4,Transformed,11.24380823,0.571036711
MP4,Natural,8.446358829,0.428963289
MP5,Transformed,19.32457048,0.981409482
MP5,Natural,0.366059009,0.018590518
MP6,Transformed,18.5961414,0.944973468
MP6,Natural,1.082867629,0.055026532
MP7,Transformed,15.11465892,0.767934499
MP7,Natural,4.567565199,0.232065501
